,0,1,2,3,4,5,6,7,8,9
000,0.4554,0.4413,0.4286,0.3984,0.3927,0.3509,0.2891,0.2884,0.2689,0.1885
200,0.4609,0.4483,0.4096,0.3906,0.38,0.3779,0.3578,0.2733,0.2074,0.207
400,0.4709,0.4217,0.4081,0.408,0.4032,0.3997,0.3037,0.2524,0.2487,0.1856
600,0.4698,0.4324,0.4215,0.4159,0.4049,0.3896,0.2763,0.2487,0.2255,0.2038
800,0.4703,0.438,0.4082,0.4041,0.3814,0.375,0.3298,0.2986,0.2229,0.184
