,0,1,2,3,4,5,6,7
000,0.477,0.4288,0.4027,0.391,0.3233,0.3227,0.254,0.1947
200,0.4522,0.4159,0.4138,0.3998,0.3236,0.309,0.2659,0.2256
400,0.445,0.4106,0.4006,0.3963,0.3446,0.3112,0.3105,0.1991
600,0.4369,0.4318,0.4124,0.3992,0.3676,0.3465,0.2181,0.1954
800,0.4647,0.4627,0.4161,0.343,0.3402,0.3156,0.282,0.1999
