,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39
000,0.5421,0.5181,0.504,0.4914,0.4911,0.4789,0.4775,0.4749,0.4655,0.4554,0.4428,0.4397,0.4331,0.4324,0.4252,0.4172,0.401,0.3892,0.3857,0.368,0.3474,0.3466,0.3399,0.3379,0.3052,0.3027,0.2846,0.2819,0.2671,0.2306,0.2271,0.2249,0.2227,0.217,0.2122,0.1972,0.172,0.1646,0.1636,0.1405
200,0.5415,0.53,0.4994,0.4899,0.4793,0.4773,0.4735,0.4678,0.4678,0.4665,0.4573,0.4535,0.4372,0.4253,0.408,0.3992,0.3949,0.381,0.3806,0.3735,0.3461,0.3403,0.3369,0.3351,0.3278,0.3251,0.2812,0.2699,0.266,0.2482,0.2442,0.2305,0.2241,0.2227,0.2109,0.1945,0.1693,0.1661,0.1547,0.1382
400,0.5384,0.5102,0.506,0.5031,0.5025,0.4824,0.4799,0.4751,0.4632,0.4609,0.4561,0.4311,0.4256,0.4115,0.4076,0.3999,0.3987,0.3835,0.3742,0.373,0.3658,0.3458,0.3456,0.3336,0.3234,0.3139,0.2871,0.2741,0.2647,0.261,0.2576,0.2381,0.2336,0.2287,0.1989,0.1956,0.1664,0.1657,0.1333,0.1136
600,0.5375,0.5362,0.5273,0.5157,0.4887,0.4718,0.4642,0.4591,0.459,0.4582,0.458,0.4506,0.4203,0.4146,0.4042,0.3976,0.3848,0.3769,0.3762,0.3668,0.3529,0.3408,0.3383,0.3358,0.3287,0.3276,0.2997,0.2833,0.2657,0.2509,0.2428,0.232,0.2292,0.2282,0.2133,0.1975,0.1796,0.1483,0.1318,0.1314
800,0.5362,0.5358,0.5254,0.5192,0.502,0.4808,0.4705,0.4599,0.4591,0.4482,0.4385,0.4313,0.4272,0.4252,0.4037,0.3917,0.3894,0.3892,0.3885,0.3635,0.3619,0.3457,0.3457,0.3444,0.3158,0.3152,0.3132,0.2863,0.2427,0.2377,0.2305,0.2282,0.2247,0.2196,0.2176,0.1912,0.1862,0.1811,0.1566,0.1086
