,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15
000,"(0.41830491314395674, 0.32390526462035607)","(0.2398681328805156, 0.23105350439074768)","(0.6129160886174034, 0.20323027833215823)","(0.3323177899941872, 0.3668033113180341)","(0.22397364876166798, 0.39445263399661745)","(0.18628960595110802, 0.46364248102929373)","(0.3059940436221568, 0.47167099603083895)","(0.4095552292857125, 0.34288249797064485)","(0.43613090539243743, 0.4223958987611339)","(0.17854524486597406, 0.16253908490888114)","(0.2821251790355372, 0.3253028581576457)","(0.5146469445500232, 0.370959249761564)","(0.2695433886536958, 0.27538501114731606)","(0.41995916670779165, 0.3321165759186979)","(0.4800280979264771, 0.4815846395761245)","(0.35988619835926267, 0.42776701308842624)"
200,"(0.5246786025653993, 0.3538313526561634)","(0.23108577337875869, 0.20020573105201733)","(0.4220559297661394, 0.18789283442395788)","(0.2009654496676581, 0.3906961895501625)","(0.39967626499264586, 0.4863875150234217)","(0.21203544804771926, 0.18809589720728237)","(0.4730734292697591, 0.5051899901100425)","(0.2830363546939361, 0.3711323202592708)","(0.2595236006137874, 0.2959462857363908)","(0.18855538960813104, 0.4386166522844259)","(0.4589695033969555, 0.23944444859346448)","(0.37442909860611867, 0.36514301486961775)","(0.29401423260039367, 0.35676385094578766)","(0.43030348518504913, 0.419164100713992)","(0.3977214004003047, 0.4275294042301725)","(0.5280681805254601, 0.39542350363602463)"
400,"(0.26116360165606856, 0.2998515058541501)","(0.24858846784672525, 0.3170225022004507)","(0.6537783297688455, 0.23582270269229333)","(0.36696103490503235, 0.3143160183726452)","(0.18788520714217588, 0.17356017150353675)","(0.4942835811860611, 0.4632845522925034)","(0.39096496406821896, 0.4151154173314009)","(0.41103831971590715, 0.4346824508378929)","(0.20788085070270565, 0.18680056016074176)","(0.33496691046909083, 0.23582667920425615)","(0.2641191823894678, 0.4073947784451699)","(0.16095822891176295, 0.5170749146254269)","(0.3675433952511172, 0.4192842462693236)","(0.4900508332694641, 0.4469092675180256)","(0.4449210896196073, 0.45987977109698863)","(0.40660216078857264, 0.2841285291277823)"
600,"(0.47306202974521017, 0.4672574147618388)","(0.526013746492575, 0.5034222944655153)","(0.29722504322174265, 0.36598939307027345)","(0.29735755928805147, 0.45248377621715996)","(0.22147538950321047, 0.19905718059742195)","(0.19130968561843364, 0.4749039114643283)","(0.4007219412081761, 0.3359545577672295)","(0.4286221660671469, 0.40490778871626887)","(0.19019338235135896, 0.17895580127968624)","(0.35144503216133616, 0.44407633905783894)","(0.5222655344307906, 0.38702834593242774)","(0.22814575498220158, 0.24779691185463437)","(0.6335747206683106, 0.25793086952371447)","(0.3964840537813411, 0.32645355456336433)","(0.21927177641054602, 0.38595183344798945)","(0.28618882742610935, 0.20203515042974685)"
800,"(0.6425518277739776, 0.2601508877792795)","(0.23790472696943804, 0.4587747244895386)","(0.4528924667057777, 0.3821185528307358)","(0.3318198351276367, 0.2292686958441137)","(0.45477968761795984, 0.3609770539139745)","(0.37399007964424646, 0.43139671174149996)","(0.2137549701410101, 0.2726203061302003)","(0.22899369932472094, 0.1717612930220872)","(0.5274284813341976, 0.41589089068988505)","(0.2984223871170486, 0.3625044237599615)","(0.27919086903684825, 0.47215578156306626)","(0.23487284672904357, 0.45911838220247314)","(0.3518911245272189, 0.24654833475385018)","(0.16451929973700288, 0.1803124308056594)","(0.4809896388128677, 0.4955110647709724)","(0.3932528895253728, 0.384937397788639)"
