,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39
000,"(0.42896297950793294, 0.42515389426757433)","(0.3330318116220397, 0.16456835743694975)","(0.16686724388082622, 0.5420942766664447)","(0.4302888003092673, 0.5181127181142262)","(0.46903137553677793, 0.4323808675556139)","(0.22341581702377358, 0.22273680968605036)","(0.33063052081766453, 0.2845725812060931)","(0.22188955246746456, 0.230568263075823)","(0.4348222130429576, 0.4171952147457013)","(0.4189512965672243, 0.2819232570175222)","(0.1950365747335251, 0.21701971783361762)","(0.16500036233061044, 0.4330818319641787)","(0.36546866749782375, 0.3466052142808007)","(0.5800260019306823, 0.38567190017572495)","(0.45156665707309623, 0.45537918542331557)","(0.18742936151050618, 0.47488214218366964)","(0.47460504795891634, 0.47894090467538086)","(0.6215800598953786, 0.16363072574131765)","(0.18554106816635024, 0.2249462867407499)","(0.31587010431824236, 0.38920920391430835)","(0.18265193384579062, 0.36799484018919304)","(0.20511363483347292, 0.1972394210874836)","(0.707062107690337, 0.22709062591558848)","(0.4682095876878282, 0.30523723643943534)","(0.4485098246330942, 0.4774930508156018)","(0.39144781257353894, 0.4913891398698641)","(0.48159091366877493, 0.34741418942254687)","(0.47899046869087675, 0.2671112565870186)","(0.41603070609008663, 0.3026509240349442)","(0.3354520783682078, 0.40102287269315817)","(0.19996386377963762, 0.4396829235747406)","(0.4667061681123513, 0.4428202587106197)","(0.25656867164241687, 0.21216111913994062)","(0.17088544675024947, 0.1405330812346265)","(0.15913044144579053, 0.17196756267506008)","(0.2690352671254489, 0.49114985128132393)","(0.25387914002561784, 0.33794247660336285)","(0.3708328661011162, 0.33990718747250814)","(0.5406479757552696, 0.5039965516272009)","(0.39529344487872375, 0.4654866944229322)"
200,"(0.5067062288004551, 0.38059566194148486)","(0.18846106424925058, 0.4535494370580454)","(0.16892110964447585, 0.5414987557569455)","(0.4364618345440746, 0.47352221523980154)","(0.4542258059526817, 0.43720509031981314)","(0.18952490767469238, 0.19445556623247207)","(0.4884266570410143, 0.32506148483775466)","(0.2621423066776351, 0.21093131308507473)","(0.3792411743033005, 0.2812463014775154)","(0.33968791111252, 0.33508366324039396)","(0.18751836900793542, 0.46778762402484286)","(0.13545975342273678, 0.16933924581167292)","(0.22390623447318192, 0.24417482824148518)","(0.3921293902297987, 0.4793191993050716)","(0.1715524047911032, 0.34034877323802626)","(0.3159107778663176, 0.4079865695396967)","(0.5753187097542489, 0.499370147004489)","(0.3807775941780482, 0.23048378367543298)","(0.21560957830474095, 0.24817637898532907)","(0.17544800218458217, 0.4253490478303418)","(0.38496460159763274, 0.4898800236250319)","(0.18219167298712624, 0.46781258889024335)","(0.49368813811167755, 0.4664749459233266)","(0.37699347204354805, 0.3734921727678171)","(0.362524283746746, 0.15470491102874095)","(0.4523069199915991, 0.3949000578810944)","(0.48250597733637235, 0.3460813808965141)","(0.42278179488790485, 0.3277910106902413)","(0.39903904113075417, 0.3991717585134227)","(0.7650949524939832, 0.22266834394865564)","(0.5596779731027343, 0.38098416632538545)","(0.4153211142628555, 0.2699463565635133)","(0.2699306417541717, 0.33691738957403106)","(0.1560782883388148, 0.1382184656564659)","(0.21754102937982814, 0.22407160400702797)","(0.4501549199474365, 0.457265599323912)","(0.24385967437399494, 0.2659960794587124)","(0.40756763278547875, 0.52996564193487)","(0.44252303102817375, 0.47729548072908023)","(0.5488049376017363, 0.1661089378576771)"
400,"(0.27912151309713085, 0.23358816493430634)","(0.27315185913888823, 0.5101965013432832)","(0.2515511123180732, 0.3233657666274279)","(0.14784206038249006, 0.13326211157043988)","(0.541530492286054, 0.3998882367868346)","(0.19320270356155714, 0.5384439861142187)","(0.2671337214282788, 0.3336135204841634)","(0.24522024017140864, 0.27414075635631197)","(0.7549856632411407, 0.19886413499993727)","(0.30208214872786293, 0.3458178574531062)","(0.4779318977513169, 0.4798789967820858)","(0.3895709418640227, 0.2647374681000936)","(0.386286429222254, 0.3139388062264513)","(0.1817412502407886, 0.374237166688136)","(0.4544367078892989, 0.4114657661453083)","(0.17745463722007562, 0.4632288370959542)","(0.2893250302219739, 0.3456419784869209)","(0.4876984883562577, 0.4824032828699448)","(0.225261421598673, 0.11361941122205466)","(0.4358535564575597, 0.4750684201729829)","(0.38206262700562077, 0.4076470009481047)","(0.20681799122243033, 0.2381475442812827)","(0.40357135071503314, 0.46089945652919406)","(0.3844911531324836, 0.37297903612593797)","(0.3728867990608417, 0.2871464873985832)","(0.5038920782486808, 0.36582337602594883)","(0.28300240345736777, 0.16568423989815317)","(0.4870168612842252, 0.4310884092443571)","(0.2627600258013966, 0.45605183581727127)","(0.3624091096514121, 0.260981167719464)","(0.6845441053622019, 0.1663742008766692)","(0.19502227586289764, 0.19560932989747726)","(0.20432158296184894, 0.2287457294278138)","(0.1829188443491328, 0.2575602280559357)","(0.21856118847045067, 0.5024622188015679)","(0.5436105555297146, 0.3987048322560788)","(0.3989761241668492, 0.5031027515874543)","(0.3804024342678229, 0.3835191622217514)","(0.5917101174487808, 0.5060315400892761)","(0.39220380691611534, 0.42564177115512747)"
600,"(0.39275811342121, 0.35290476709986396)","(0.18192822810087925, 0.4589766252723817)","(0.18971928869582558, 0.4580337752422936)","(0.1916070388240742, 0.1975499586240248)","(0.45991671295795755, 0.45906006333661553)","(0.29806511289368737, 0.34077800071692266)","(0.3884169816207626, 0.36683339873881615)","(0.1628250404463144, 0.2281684178473753)","(0.5993277077954707, 0.14832431901909304)","(0.3646700973302486, 0.2656774127751653)","(0.45298038607785385, 0.45824662566701935)","(0.18501433456301722, 0.24279009397796225)","(0.45485064443893375, 0.41464558673399)","(0.20447279199181786, 0.3847712802863029)","(0.4247413454106608, 0.46422079171924124)","(0.14977752926305077, 0.4718476103346594)","(0.177070250779889, 0.5273245307121666)","(0.2661767668653298, 0.21328407295285023)","(0.321622568427732, 0.2509474865242737)","(0.27323335605544197, 0.17964439540098953)","(0.42247156681045744, 0.48865503545374045)","(0.30197765455334397, 0.2996621517641739)","(0.4188386885287239, 0.32873252758289495)","(0.5606302578620918, 0.45064295538888743)","(0.775335143206536, 0.2292470252370189)","(0.27390811339198434, 0.5157393310405205)","(0.3697792364747351, 0.2833494370045747)","(0.38595683851708257, 0.42028150486043303)","(0.5320108217554967, 0.3976101107706156)","(0.5281962674552162, 0.40422949187449275)","(0.3264710163502796, 0.33576598672010527)","(0.14467665492994103, 0.13144097685979594)","(0.27450477034480025, 0.3762459724581667)","(0.28153216585268354, 0.13178505105074245)","(0.2285922909237937, 0.23196473997521772)","(0.4381808035862925, 0.5361982181378674)","(0.31301339049433685, 0.33828384763460306)","(0.42979350543551015, 0.5374564523196781)","(0.4183926976505539, 0.3768509050866883)","(0.585553376140571, 0.3276207862675744)"
800,"(0.43199662407537404, 0.38918374304774606)","(0.46831159327630234, 0.4384638703499646)","(0.13995223208217636, 0.5253640753894433)","(0.19793752745189155, 0.18107191099671338)","(0.23595036765627272, 0.18618589486737158)","(0.5954859049955809, 0.5191988778154466)","(0.49217519019305966, 0.3885433846706394)","(0.22691409847867283, 0.21763502817999714)","(0.25982417103722755, 0.19123693741058578)","(0.34558512600126184, 0.3634813033019899)","(0.20809883172681048, 0.39166937482017516)","(0.437085249131708, 0.31583282296044435)","(0.26464304742308087, 0.43129304350969255)","(0.37594739007568295, 0.4599138397157163)","(0.13779184488313334, 0.22467503906476072)","(0.21744731025905398, 0.3456913074978979)","(0.16301251770098044, 0.5361675563776904)","(0.5385143431116092, 0.4251533634670297)","(0.415101722950577, 0.4591146433618296)","(0.257893644903501, 0.23054926393371444)","(0.2715252816811596, 0.5020352781546811)","(0.26087615995519636, 0.3618680798452)","(0.4358783370813928, 0.3131619194520333)","(0.4102394560337792, 0.4808491472196923)","(0.2595677566600556, 0.34574187884108865)","(0.4961863443679492, 0.24267780322782595)","(0.8333623957543593, 0.21963695596128152)","(0.49415563388995215, 0.4272388059701493)","(0.489974625799603, 0.4482082033814839)","(0.5324502813480863, 0.1566337439521469)","(0.40354076467758465, 0.28626007171642487)","(0.2647396662659342, 0.23767751030191342)","(0.27566589656458496, 0.40371147670925644)","(0.16736641479338732, 0.10859459771007862)","(0.23062932372036965, 0.2281665161610491)","(0.4415548651594311, 0.5357651083928787)","(0.42467855488827505, 0.47050291356165985)","(0.36956592432129554, 0.38943322979688266)","(0.3035235759239146, 0.3151775646727568)","(0.3768614102635642, 0.34439244286206505)"
