,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79
000,"(0.5211200970982005, 0.37195382072201777)","(0.38908298781386147, 0.13539763096141022)","(0.27830612310356995, 0.29161337056037706)","(0.48728659595855117, 0.49217664503017355)","(0.3636260025222556, 0.4050458977386968)","(0.18284971132225622, 0.34449627201671285)","(0.5664526844919234, 0.16384262646604997)","(0.551810893144927, 0.38036517597247954)","(0.2674477757770044, 0.48798534990647013)","(0.2169955836579046, 0.5118590911706596)","(0.21722030539302944, 0.3258010793655781)","(0.11448304568684432, 0.5346267231704662)","(0.6849022298189326, 0.12451468589434933)","(0.49487223784021483, 0.363840347792987)","(0.33530763063766805, 0.4839966172520147)","(0.4413089452009053, 0.3824098848320675)","(0.6562450693302312, 0.34789007992424026)","(0.4552533054064668, 0.31796276072652985)","(0.18777405554192317, 0.3556099355862625)","(0.32008610820765515, 0.24098091557014667)","(0.2461852603451101, 0.2403952557608966)","(0.3874818323733649, 0.3897755623390916)","(0.45580431306992464, 0.2588467057421504)","(0.18622921788981073, 0.4752722066390721)","(0.14799063150021566, 0.1404143730224091)","(0.23851938742261322, 0.2644366540072062)","(0.8426354492265768, 0.1941928522381715)","(0.1950150695812071, 0.23847932941475303)","(0.5850893471236326, 0.3569414063037407)","(0.19734840796730488, 0.16487799668962566)","(0.34257486367320716, 0.4465496846232875)","(0.48265696527097235, 0.4253464200018928)","(0.4036190989040869, 0.40945165108022186)","(0.18168575284172403, 0.4578589886855706)","(0.3961545173481693, 0.5205898175771506)","(0.5128481783875765, 0.2454220645825641)","(0.3948116947096206, 0.34103727449383636)","(0.2564851585111395, 0.2602202905353864)","(0.2186827090052096, 0.4969025044384845)","(0.47079947988284016, 0.5046658527522692)","(0.5600844039637811, 0.4303993745520881)","(0.5172917069641606, 0.4281538149761881)","(0.31143708602297737, 0.22586098998708015)","(0.6316368018859179, 0.27100681745033206)","(0.1855336368234699, 0.30537304716016933)","(0.22698532565366228, 0.44878644547635904)","(0.25183233013940576, 0.1715323475327123)","(0.19531531722631143, 0.1428272995048988)","(0.2763680908607422, 0.33751689597166135)","(0.3270865854508977, 0.3911840781721512)","(0.1858425223757015, 0.2093851495128234)","(0.4349723733561339, 0.20639868664709016)","(0.15596062685192, 0.5386692185527548)","(0.27411750544192437, 0.3190410588635353)","(0.15757260570392187, 0.5296868676842258)","(0.4801847032068953, 0.45345724799490705)","(0.5974965965814552, 0.43847349133702096)","(0.6011320428153413, 0.529568535605403)","(0.25583754582479673, 0.28588813553964565)","(0.1686367640247282, 0.11128148862950382)","(0.5328561133019686, 0.41450668896321075)","(0.291067530074523, 0.30924226789748166)","(0.11589316920031548, 0.19472925420417142)","(0.17096402973154345, 0.39685472113433007)","(0.492694000555137, 0.5446327510000051)","(0.4500394334850268, 0.3230887180595433)","(0.3823337047310555, 0.4322545905437516)","(0.22528508647690576, 0.5050254576547863)","(0.4413894408964265, 0.34286471664414186)","(0.4277832905494316, 0.4721445513624004)","(0.3822788215319881, 0.6006971494776373)","(0.12194272871780826, 0.13383894318091205)","(0.5202312749440698, 0.24018943511996071)","(0.2330859428038561, 0.487684847224943)","(0.25432253445498476, 0.19742634322746355)","(0.2443815942770658, 0.44408717254751473)","(0.4894308226405702, 0.27789586602832794)","(0.36778504371640686, 0.3349166687283013)","(0.32557005777961207, 0.3939153899721448)","(0.20502181630938507, 0.19715409582357113)"
200,"(0.17343238836052788, 0.39848904097050597)","(0.31658593338008795, 0.3969230491264206)","(0.256285979622587, 0.23323015996039742)","(0.4591545780855086, 0.5072165249656704)","(0.3416112022001113, 0.480209914011128)","(0.616644096672382, 0.3393926394623483)","(0.33437999390709927, 0.1858906097654126)","(0.4605525782661198, 0.34390326660291803)","(0.5114298062944481, 0.4252940840566469)","(0.2845090696566951, 0.31904283785796295)","(0.1541038435164883, 0.18033402436960566)","(0.21560925538699194, 0.508000565161336)","(0.3316515565620608, 0.40220353336743164)","(0.46509487821854706, 0.32122534245830114)","(0.507201701341525, 0.36409096189269774)","(0.32651085238800026, 0.3820717664911184)","(0.4351536138554964, 0.4009565661928076)","(0.2531588322935798, 0.1665649623397043)","(0.14196480615025914, 0.39889620138053217)","(0.28655827535600337, 0.18846490643619962)","(0.24687745586000942, 0.2357357119678346)","(0.6871926158688636, 0.11617557685898572)","(0.32604426020246957, 0.33029100410332846)","(0.3999951401525992, 0.5137074722750237)","(0.38226527383356934, 0.32619634008316833)","(0.27608137539684396, 0.3249952323437798)","(0.3194519905824198, 0.22576113768784067)","(0.11357974515869253, 0.23238437749478758)","(0.8830823067885578, 0.19259745178131848)","(0.48148053586063744, 0.1605848252115082)","(0.3690108073355173, 0.4462517315253771)","(0.48265696527097235, 0.4253464200018928)","(0.24089946301845733, 0.2570144090027754)","(0.14438305997245524, 0.5136534593499278)","(0.18096770868844791, 0.4800196660003869)","(0.2674329844871613, 0.40239342412764934)","(0.2958050058163906, 0.2586577658825623)","(0.11354904542631784, 0.5382581945475762)","(0.5930179496919159, 0.3270317638486836)","(0.6160134823085213, 0.5239789686122471)","(0.49661885833068503, 0.49282280970067727)","(0.49574854209129526, 0.45605142314900027)","(0.2916686994009639, 0.49732701375205335)","(0.39233686335334583, 0.3543630258739877)","(0.26246099973024284, 0.431992146872188)","(0.21751457051037637, 0.44213746097674145)","(0.23446437805799752, 0.18446949669981072)","(0.17580278693476575, 0.10672287917737788)","(0.3148179224702131, 0.24579001113999255)","(0.43185057923683284, 0.3287022480742021)","(0.12044038376603682, 0.10132574979246634)","(0.4929945251440238, 0.20960074250346694)","(0.13451240930012728, 0.5366410961316062)","(0.3230162091800366, 0.3997282395416373)","(0.1813169324284086, 0.4780980537078098)","(0.4496491173673984, 0.5025158640557481)","(0.23344848166056364, 0.48869217387188013)","(0.3994876292466765, 0.5689720974732451)","(0.22752600862725197, 0.5061894862326637)","(0.3407388271764402, 0.2994884401066843)","(0.49656244304489583, 0.5520990006797732)","(0.1678855505227999, 0.3052104706334958)","(0.1884596582158045, 0.24662882044763923)","(0.4624918153008041, 0.3139835153252667)","(0.5672419019293395, 0.41950853397843557)","(0.6430840628205511, 0.26909815463275255)","(0.5476959063100673, 0.48094274503910217)","(0.4446747077101257, 0.4197005055418067)","(0.39977195638927465, 0.4319336686844574)","(0.6325803374264919, 0.33839471690967615)","(0.4752646883388011, 0.4300170776831277)","(0.21234472841495503, 0.16660539574055666)","(0.17045995367677388, 0.15960570980514388)","(0.16902419346388792, 0.3080615645747323)","(0.1846219690685153, 0.21701571146420884)","(0.48516667957410786, 0.28317442654459923)","(0.589940351603721, 0.3613536874327864)","(0.5123623694848969, 0.23279198563058634)","(0.3319549786009062, 0.3846836677099903)","(0.17867180288473936, 0.207131352178465)"
400,"(0.3510770030815649, 0.36368158758044566)","(0.31658593338008795, 0.3969230491264206)","(0.41237475166277965, 0.4685458393399381)","(0.5144598315919235, 0.49090642800726025)","(0.22103626696419837, 0.5033832505563443)","(0.618814649906334, 0.4635028233082449)","(0.22847657526514364, 0.19319709377602945)","(0.34655844382675693, 0.4785045088103471)","(0.5191050978447824, 0.4153563368156542)","(0.2783611707163571, 0.3293167264251555)","(0.21856743779554594, 0.18225935626312262)","(0.11968296368315412, 0.5595378654338643)","(0.4298531363178322, 0.3842733932966541)","(0.3009813380161357, 0.3611837935349661)","(0.5346418828903128, 0.31778372493389895)","(0.1260109988618394, 0.3578716186994897)","(0.6165810748970356, 0.43271490378814426)","(0.3011238716901774, 0.21629491003742896)","(0.24082685164333423, 0.43340345499626054)","(0.21342387981048874, 0.16903574190572246)","(0.21079021367775086, 0.2177809963602848)","(0.4513883715501785, 0.28346610816418405)","(0.5219514901125839, 0.24635116250209088)","(0.3369210421901865, 0.32109879011480513)","(0.5184404913261392, 0.30122258859049733)","(0.2878787878787879, 0.31257323757323763)","(0.6509832641657851, 0.3487467925890514)","(0.15423077130194562, 0.23591310535348042)","(0.3635752019644082, 0.13230145306555618)","(0.46974186201242474, 0.18911620996085377)","(0.4877341091313172, 0.3458819813540124)","(0.4616191759206084, 0.3978961599362921)","(0.20517812934963928, 0.4592604272764853)","(0.32375439321893734, 0.4032026588110884)","(0.20801244395273125, 0.29423397758408143)","(0.5560686213724274, 0.34755905511811025)","(0.22184882928849056, 0.20117441365586575)","(0.41513533799825403, 0.5068047337278107)","(0.42803206849054687, 0.27145649348655865)","(0.49072027338624086, 0.5532142635530644)","(0.4255650992333099, 0.41982508622188064)","(0.5054714815008089, 0.44786485502850903)","(0.3665033864713937, 0.46800135272235377)","(0.6562432915921288, 0.19490652490498572)","(0.33033863689854054, 0.43882406253540274)","(0.21640375584532484, 0.5279082915052753)","(0.13499360851929018, 0.1681095047633422)","(0.18120243075768044, 0.3018244697136303)","(0.4497535918925853, 0.46018506382867175)","(0.34178585315104193, 0.2872833419327715)","(0.18931698108426562, 0.17274721868780785)","(0.5107245072743436, 0.35414393232008456)","(0.22561080580017215, 0.49624823590235634)","(0.17974525788344023, 0.453703828722394)","(0.12620611228816353, 0.5316883630057296)","(0.6203261685431594, 0.5214553683884395)","(0.29186847644329517, 0.5297741715744182)","(0.42828461828801795, 0.5405930192754872)","(0.19147820936516383, 0.4367154322090876)","(0.14242448553893056, 0.5318607952923444)","(0.3648869169195326, 0.43483883327745587)","(0.327594956995566, 0.37253740404198654)","(0.2715415356262895, 0.22129692050777028)","(0.4320666024806026, 0.26436581890752753)","(0.28310973423478036, 0.25451352329226007)","(0.8683928293936777, 0.2032416621031401)","(0.48296871224783106, 0.4964425919191354)","(0.3605475160375951, 0.4612758262371628)","(0.3701289803402769, 0.33502629848783694)","(0.5664954652567123, 0.384663873749742)","(0.48363007849663936, 0.42636554621848743)","(0.1875128055603713, 0.08564394641648376)","(0.16883907517339833, 0.09382798203293963)","(0.17702404016699866, 0.2735942615712752)","(0.24542815517091415, 0.2325828010555131)","(0.316001582229711, 0.32474957794034887)","(0.2190258791610143, 0.32370861248664917)","(0.685918574143215, 0.12176801964466277)","(0.19114368663519934, 0.2523635263196239)","(0.14673296508730824, 0.23870448090211538)"
600,"(0.5143368052053547, 0.3831868741983038)","(0.28197063941278827, 0.320348270523962)","(0.6085124074738318, 0.5366942260691838)","(0.4958973989406332, 0.4927728691603619)","(0.38856267171862446, 0.45128509021098206)","(0.631973914206062, 0.3165879186137577)","(0.18939469966573774, 0.23709352517985616)","(0.45476765271344927, 0.48969922837135305)","(0.40117559280085896, 0.5198765561251177)","(0.3102623494284897, 0.35537354605693483)","(0.21483925830449735, 0.1884516684663574)","(0.11968296368315412, 0.5595378654338643)","(0.36666774146342673, 0.3359689107773528)","(0.2973120146276762, 0.276494498837232)","(0.4104456953031282, 0.24797488706837145)","(0.12301736802049068, 0.428433773778614)","(0.5916302178204863, 0.3347870003687611)","(0.6007329867762019, 0.3021333907984054)","(0.20689971159989512, 0.20759449764813376)","(0.262340322482998, 0.13449926219322772)","(0.24199012264591832, 0.4805091737360332)","(0.3405982218562817, 0.3720898628275364)","(0.30544578862481514, 0.13448164459029777)","(0.191703866783449, 0.203417131156865)","(0.22894460210935139, 0.2833950060233421)","(0.18581382747330744, 0.2098395198453683)","(0.6509832641657851, 0.3487467925890514)","(0.4834634860199179, 0.24612848203314963)","(0.44282467355619487, 0.42785916072664687)","(0.33367617207429195, 0.27081199492288766)","(0.5333259538801337, 0.35810626593748496)","(0.38552873261611126, 0.3617130125458996)","(0.1249655649107693, 0.5153731275422232)","(0.17350450996079486, 0.4672257198446885)","(0.4105541732870798, 0.4232939884710404)","(0.28577424041123956, 0.5230715378108188)","(0.2726104360686424, 0.23018192944056104)","(0.135796659914185, 0.5329993228427705)","(0.19732228657507206, 0.4475994001677497)","(0.4505335345672148, 0.5619244304891156)","(0.3189646161733305, 0.3915506027520942)","(0.22665280654915482, 0.501937591447073)","(0.36068469443494333, 0.39247148222855954)","(0.4993918229111753, 0.3201981630831472)","(0.20643514425531384, 0.26016171648947084)","(0.3999126901507774, 0.32051085852613415)","(0.2723547669477414, 0.28489905204938537)","(0.14422533527506684, 0.1993123345730602)","(0.4372138619665073, 0.5473318008177146)","(0.4219422978489657, 0.22467329996822372)","(0.19003077552162356, 0.08201149425287357)","(0.6781542841326954, 0.1317124478107784)","(0.26226133375616073, 0.24694115834623898)","(0.20784572366090165, 0.3280246681103475)","(0.2235192928460769, 0.42417324514614896)","(0.417029591659194, 0.46737239421717147)","(0.21983296684929932, 0.44676771641655844)","(0.4847653737860667, 0.4407219438959513)","(0.14220637995353008, 0.4186098517961333)","(0.6187026385588846, 0.44316474341418644)","(0.6093606837264494, 0.38132946745439145)","(0.2680741194795821, 0.3417253741097773)","(0.12441923819901927, 0.30109886730956237)","(0.875739356599447, 0.1935620060075025)","(0.4162725783755104, 0.5011805182450451)","(0.47031089223460515, 0.16769505561419173)","(0.5829085221984112, 0.3827659196303058)","(0.6034753730414846, 0.32074967991500725)","(0.42710549430315337, 0.3851430715520898)","(0.3624546091777739, 0.44226545134093564)","(0.30984355183943135, 0.4922546719264995)","(0.3468578101807387, 0.31753388581759656)","(0.1418563552841169, 0.11351191870807631)","(0.5880256132746815, 0.4314828009954873)","(0.13309076377861673, 0.14392366950800306)","(0.30385904198982727, 0.31226868204861624)","(0.530697923723856, 0.3724420579819191)","(0.32383552158512874, 0.4858612351952789)","(0.24083112536605772, 0.2233941462134138)","(0.2012603091192597, 0.2513613628045738)"
800,"(0.33447567567567565, 0.27582668354158213)","(0.20843755749941567, 0.4400171732169371)","(0.5027432323984663, 0.48748905808710585)","(0.23521334715267636, 0.28526046471813504)","(0.39582196266783104, 0.4177602013302175)","(0.20929088443066085, 0.23829166735971352)","(0.30675014947702456, 0.29841209846879313)","(0.5265358209336157, 0.3815423777240967)","(0.46055832013031933, 0.4696267554399347)","(0.26540033336010926, 0.340538365883988)","(0.18573697628168337, 0.19661489365999474)","(0.24762656562467109, 0.45001194238259723)","(0.3613597480845999, 0.3319265831027185)","(0.40486742928799585, 0.2863526054306278)","(0.2086454781066703, 0.20327328854349014)","(0.17117938584274506, 0.291265134667655)","(0.27953071256930156, 0.47370115742755203)","(0.7636237721291761, 0.22827318336300373)","(0.4672952963092035, 0.16641162214881022)","(0.19900146950579028, 0.17200147596650117)","(0.11856253893943483, 0.5517935624293667)","(0.3536990607828109, 0.23646209386281591)","(0.5566509366586444, 0.258005620294653)","(0.16158520600232795, 0.1980832629187116)","(0.22943375026334475, 0.28059445724753296)","(0.2516806417090074, 0.23864773472274936)","(0.46698060912580047, 0.3958271731743883)","(0.3224207961007311, 0.13373048388882736)","(0.47314130951201355, 0.3978280834766297)","(0.4985042488972685, 0.3875834695307028)","(0.38759487767143175, 0.45479274165383654)","(0.2674120440535014, 0.33472543095788165)","(0.1336434047124579, 0.5353445388928869)","(0.27333604217347485, 0.32615476013664046)","(0.20733358506850794, 0.21719644243599223)","(0.2910815484623719, 0.4933389198270356)","(0.39105851511844064, 0.29917555611073665)","(0.17998153000856243, 0.4739352183955162)","(0.3493479967758512, 0.25128725153337994)","(0.4895048678791209, 0.546541503016774)","(0.5508920044217951, 0.297960283942852)","(0.28146782991245933, 0.5224404855485589)","(0.3156290521726103, 0.38841503378760145)","(0.23742028164253368, 0.5080566014168199)","(0.5944846329514601, 0.3379741433656299)","(0.12498402862071169, 0.4258305579153917)","(0.12943903395448025, 0.1503799543061488)","(0.4166803583303994, 0.5074009914582824)","(0.47281334073766557, 0.4324301510931038)","(0.3219032401147908, 0.2335948054444581)","(0.22616908332300575, 0.1649803331889118)","(0.48565460072973476, 0.37671402072320104)","(0.2482473932370931, 0.23380165817345322)","(0.4198008940120839, 0.487775209828488)","(0.13364183391413115, 0.5590722406146542)","(0.5437032353815778, 0.47762934624996145)","(0.38709311644903505, 0.3568776843380289)","(0.36639651724110234, 0.3521162615169555)","(0.13116068351306936, 0.409011959704233)","(0.6849079498244176, 0.49863606365036295)","(0.50378392826259, 0.4397127833410148)","(0.4045314597404811, 0.417103152198825)","(0.18616196006292982, 0.0875559098357026)","(0.1897674976090534, 0.2374219566115201)","(0.3234575025827444, 0.3501520668438046)","(0.5470375197696163, 0.3127259989761)","(0.4094133003428356, 0.5805513824699824)","(0.651290651106874, 0.35421019115396213)","(0.4324540268222503, 0.3892447307508603)","(0.35418789433265235, 0.4437391782271095)","(0.466359153397495, 0.48688642046313035)","(0.21482043173824658, 0.22353277879943)","(0.14432479021983574, 0.11492364158818891)","(0.566670872328477, 0.46519769900399144)","(0.1822657009375098, 0.4192726226068225)","(0.8378164145745621, 0.22114638778184925)","(0.5091236510377644, 0.37146506021710834)","(0.7020702022452834, 0.12714342511959575)","(0.3979035254605572, 0.427769736900523)","(0.12831781724046423, 0.30144224764972627)"
