,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79
000,0.8426,0.6849,0.6562,0.6316,0.6011,0.5975,0.5851,0.5665,0.5601,0.5518,0.5329,0.5211,0.5202,0.5173,0.5128,0.4949,0.4927,0.4894,0.4873,0.4827,0.4802,0.4708,0.4558,0.4553,0.45,0.4414,0.4413,0.435,0.4278,0.4036,0.3962,0.3948,0.3891,0.3875,0.3823,0.3823,0.3678,0.3636,0.3426,0.3353,0.3271,0.3256,0.3201,0.3114,0.2911,0.2783,0.2764,0.2741,0.2674,0.2565,0.2558,0.2543,0.2518,0.2462,0.2444,0.2385,0.2331,0.227,0.2253,0.2187,0.2172,0.217,0.205,0.1973,0.1953,0.195,0.1878,0.1862,0.1858,0.1855,0.1828,0.1817,0.171,0.1686,0.1576,0.156,0.148,0.1219,0.1159,0.1145
200,0.8831,0.6872,0.6431,0.6326,0.6166,0.616,0.593,0.5899,0.5672,0.5477,0.5124,0.5114,0.5072,0.4966,0.4966,0.4957,0.493,0.4852,0.4827,0.4815,0.4753,0.4651,0.4625,0.4606,0.4592,0.4496,0.4447,0.4352,0.4319,0.4,0.3998,0.3995,0.3923,0.3823,0.369,0.3416,0.3407,0.3344,0.332,0.3317,0.3265,0.326,0.323,0.3195,0.3166,0.3148,0.2958,0.2917,0.2866,0.2845,0.2761,0.2674,0.2625,0.2563,0.2532,0.2469,0.2409,0.2345,0.2334,0.2275,0.2175,0.2156,0.2123,0.1885,0.1846,0.1813,0.181,0.1787,0.1758,0.1734,0.1705,0.169,0.1679,0.1541,0.1444,0.142,0.1345,0.1204,0.1136,0.1135
400,0.8684,0.6859,0.6562,0.651,0.6203,0.6188,0.6166,0.5665,0.5561,0.5346,0.522,0.5191,0.5184,0.5145,0.5107,0.5055,0.4907,0.4877,0.4836,0.483,0.4697,0.4616,0.4514,0.4498,0.4321,0.4299,0.4283,0.428,0.4256,0.4151,0.4124,0.3701,0.3665,0.3649,0.3636,0.3605,0.3511,0.3466,0.3418,0.3369,0.3303,0.3276,0.3238,0.3166,0.316,0.3011,0.301,0.2919,0.2879,0.2831,0.2784,0.2715,0.2454,0.2408,0.2285,0.2256,0.2218,0.221,0.219,0.2186,0.2164,0.2134,0.2108,0.208,0.2052,0.1915,0.1911,0.1893,0.1875,0.1812,0.1797,0.177,0.1688,0.1542,0.1467,0.1424,0.135,0.1262,0.126,0.1197
600,0.8757,0.6782,0.651,0.632,0.6187,0.6094,0.6085,0.6035,0.6007,0.5916,0.588,0.5829,0.5333,0.5307,0.5143,0.4994,0.4959,0.4848,0.4835,0.4703,0.4548,0.4505,0.4428,0.4372,0.4271,0.4219,0.417,0.4163,0.4106,0.4104,0.4012,0.3999,0.3886,0.3855,0.3667,0.3625,0.3607,0.3469,0.3406,0.3337,0.3238,0.319,0.3103,0.3098,0.3054,0.3039,0.2973,0.2858,0.282,0.2726,0.2724,0.2681,0.2623,0.2623,0.242,0.2408,0.2289,0.2267,0.2235,0.2198,0.2148,0.2078,0.2069,0.2064,0.2013,0.1973,0.1917,0.19,0.1894,0.1858,0.1735,0.1442,0.1422,0.1419,0.1358,0.1331,0.125,0.1244,0.123,0.1197
800,0.8378,0.7636,0.7021,0.6849,0.6513,0.5945,0.5667,0.5567,0.5509,0.547,0.5437,0.5265,0.5091,0.5038,0.5027,0.4985,0.4895,0.4857,0.4731,0.4728,0.4673,0.467,0.4664,0.4606,0.4325,0.4198,0.4167,0.4094,0.4049,0.4045,0.3979,0.3958,0.3911,0.3876,0.3871,0.3664,0.3614,0.3542,0.3537,0.3493,0.3345,0.3235,0.3224,0.3219,0.3156,0.3068,0.2911,0.2815,0.2795,0.2733,0.2674,0.2654,0.2517,0.2482,0.2476,0.2374,0.2352,0.2294,0.2262,0.2148,0.2093,0.2086,0.2084,0.2073,0.199,0.1898,0.1862,0.1857,0.1823,0.18,0.1712,0.1616,0.1443,0.1336,0.1336,0.1312,0.1294,0.1283,0.125,0.1186
