,0,1,2,3,4,5,6,7,8,9
000,"(0.44564844646846946, 0.26890930887064823)","(0.18800689418156188, 0.4554471711236564)","(0.2583119971542359, 0.28910929992624035)","(0.19330274777030726, 0.18848267425606857)","(0.44567699025656166, 0.3927034456796974)","(0.39713212013453725, 0.4412680554306474)","(0.4773556896640368, 0.28837031642583266)","(0.35196026458073515, 0.3984340540588225)","(0.46399969647912653, 0.4285591618920921)","(0.3223723194271193, 0.3509184968469511)"
200,"(0.39362502860249926, 0.3778656544056306)","(0.3464524333889559, 0.3799562706555496)","(0.19490913408107635, 0.46093879774447233)","(0.36383932283970283, 0.3906383801166683)","(0.1938432688032979, 0.20698148518388626)","(0.36159347654424445, 0.20735485975211998)","(0.43970422344953786, 0.4095929751986682)","(0.5565962775876079, 0.35783373217416226)","(0.4293275188735489, 0.4482649644059372)","(0.2712873123075916, 0.27330308705486805)"
400,"(0.5168525018321618, 0.42171812584019863)","(0.5178765491148434, 0.2524237873384114)","(0.44927010096759934, 0.4080942932502486)","(0.40680153588054235, 0.39965449735743164)","(0.2445645174393146, 0.24871389786855536)","(0.30602217549111616, 0.40796957790163413)","(0.1994182409710574, 0.18556067748710958)","(0.3031614901522624, 0.3036862066816596)","(0.4109795232051007, 0.40316845113524824)","(0.20143960986032947, 0.47089591536378683)"
600,"(0.5568251094028887, 0.24868756084402233)","(0.2828995666206482, 0.41594753537726425)","(0.2174959546652595, 0.2254516087320474)","(0.297149878365877, 0.2763268267687554)","(0.20205996162421316, 0.4697976137011406)","(0.20412859357086674, 0.20384682823081923)","(0.4366670587533576, 0.3895697041126638)","(0.46599067898864965, 0.4049227237342822)","(0.5067970454475857, 0.43235769796521795)","(0.3728145181572664, 0.4214533361293804)"
800,"(0.5037003961952304, 0.222916503944388)","(0.380244691191986, 0.3297842727094844)","(0.4002353781083963, 0.43798026093963416)","(0.21186655406830196, 0.29861171612273707)","(0.5012921306308287, 0.40819929136472244)","(0.20091101216214546, 0.18399182847204087)","(0.34831930369581576, 0.37496243700403487)","(0.428259669901909, 0.38140265865033485)","(0.3130570534057193, 0.4040821060338393)","(0.24184446767326623, 0.47033580983420475)"
