,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15
000,0.4816,0.4717,0.4636,0.4278,0.4224,0.3945,0.371,0.3668,0.3429,0.3321,0.3253,0.3239,0.2754,0.2311,0.2032,0.1625
200,0.5052,0.4864,0.4386,0.4275,0.4192,0.3954,0.3907,0.3711,0.3651,0.3568,0.3538,0.2959,0.2394,0.2002,0.1881,0.1879
400,0.5171,0.4633,0.4599,0.4469,0.4347,0.4193,0.4151,0.4074,0.317,0.3143,0.2999,0.2841,0.2358,0.2358,0.1868,0.1736
600,0.5034,0.4749,0.4673,0.4525,0.4441,0.4049,0.387,0.386,0.366,0.336,0.3265,0.2579,0.2478,0.202,0.1991,0.179
800,0.4955,0.4722,0.4591,0.4588,0.4314,0.4159,0.3849,0.3821,0.3625,0.361,0.2726,0.2602,0.2465,0.2293,0.1803,0.1718
