,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19
000,"(0.4845689937508477, 0.37767345426451926)","(0.2293154333879419, 0.3300935874919132)","(0.6523292015586047, 0.2119231618458821)","(0.3376923951059988, 0.2637846525081954)","(0.16536923081897875, 0.2529064968629706)","(0.519244978298173, 0.4030880313767484)","(0.39962270853222, 0.46843226816423267)","(0.1892128679166402, 0.5183614924768225)","(0.34159281697286153, 0.28033898617638986)","(0.19203179913947088, 0.19494656583162195)","(0.4244135405141193, 0.22266075332935797)","(0.20291177788668427, 0.20589399912395967)","(0.3800873470846342, 0.4286203990319313)","(0.32893163027999467, 0.26462388736982956)","(0.5187626592595825, 0.5083214285222284)","(0.3364472437433811, 0.357163024810477)","(0.33583336141140246, 0.43685448575903973)","(0.2707229329020242, 0.4370823946852843)","(0.42707346445105754, 0.4899101213832604)","(0.37462042983760657, 0.3770386931403844)"
200,"(0.4501223962063089, 0.3564403606872163)","(0.4589685963641167, 0.49214698162729664)","(0.25793831119358257, 0.29540353085470394)","(0.4067306046582252, 0.27962445377495904)","(0.4256771802606476, 0.47110987911437263)","(0.18441791988617276, 0.4897122032450152)","(0.332617979530177, 0.4396438180233049)","(0.1797212723999607, 0.1740999022719948)","(0.38738710379761443, 0.4372440578690029)","(0.40680699763200423, 0.4115373346653065)","(0.4180278688661056, 0.19191258782080778)","(0.22598693047346247, 0.24586947677192839)","(0.1941957615222157, 0.4291263946297045)","(0.21374846020954397, 0.15391246469791586)","(0.6192848889459495, 0.23031400438831096)","(0.2937739902651363, 0.41746731133496373)","(0.543337414020272, 0.38365681640206994)","(0.3244569217104428, 0.3906135500632869)","(0.4598105870973376, 0.44596678444589166)","(0.3287186686311661, 0.2811010263912874)"
400,"(0.3930201026949022, 0.31355369355234597)","(0.30499153196722095, 0.4449265546518999)","(0.39416939984568783, 0.26587129077462845)","(0.30538402500458517, 0.214141729652377)","(0.5243000592433669, 0.45002462647743113)","(0.16753065320218702, 0.17857789695280435)","(0.4881058944635904, 0.3886404179151829)","(0.23259749844227215, 0.24043348733734593)","(0.22085479011747947, 0.39069742326096013)","(0.180023953634574, 0.47853285433333403)","(0.4890183382036439, 0.4042609069929747)","(0.20461659046034184, 0.20644196734261067)","(0.2791273424811822, 0.39116577280179265)","(0.3674959778116045, 0.49251616418141997)","(0.6201284037385809, 0.19521872504097026)","(0.313253568593343, 0.42442479365048547)","(0.28680452312808796, 0.2608788482437767)","(0.4727991900322112, 0.3731465780448642)","(0.43865264658223185, 0.4854126895289791)","(0.4176562013888384, 0.40201028078058654)"
600,"(0.48976379244423524, 0.44689812952290475)","(0.3251334968824163, 0.26864678563349165)","(0.5684027267725141, 0.20409180633093604)","(0.271379184350319, 0.42400896469896254)","(0.3195853117007072, 0.36978055913626773)","(0.4666825708299505, 0.44024051093466143)","(0.2530250428396736, 0.2362320554969296)","(0.36603437329737254, 0.21806410713200486)","(0.17833222220744943, 0.1642919228798695)","(0.29036777210035064, 0.2640013542871653)","(0.26938166688857246, 0.4572903191829023)","(0.1960528588702712, 0.4151790366844994)","(0.36477727423170586, 0.40374120827754034)","(0.3794252839396748, 0.4763641642622535)","(0.4732843862107984, 0.2804455837210038)","(0.17882838855290797, 0.21511167827531386)","(0.1853418093183966, 0.4331496842255619)","(0.5358680928343907, 0.39894761807442614)","(0.4983320698485642, 0.3756306948075887)","(0.4553491012540345, 0.5045243519205931)"
800,"(0.4265121550606454, 0.4856701214413017)","(0.22374936671623985, 0.40887009138553954)","(0.37932739861523246, 0.2897767760188299)","(0.4967845680925741, 0.4887137800896717)","(0.3449926246940533, 0.3984178476967044)","(0.3581909911630479, 0.3957544050198676)","(0.5443458633257802, 0.4393569593574508)","(0.34200172352260166, 0.2548550680364141)","(0.20670089760601662, 0.42013490460255065)","(0.23139753586020984, 0.19899185877989922)","(0.559307870654701, 0.35271118236313803)","(0.17362173544947376, 0.1639852258864637)","(0.19115292039363813, 0.35655089717610144)","(0.3609951440061202, 0.27459779928588)","(0.27396140303939054, 0.2598813957643308)","(0.33562567923342906, 0.5003383590610868)","(0.22324727243682166, 0.31315381121356123)","(0.5339386324844722, 0.38515228896958675)","(0.56795695833143, 0.1884867503593033)","(0.31774380475628305, 0.45165266617969324)"
