,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15
000,0.6129,0.5146,0.48,0.4361,0.42,0.4183,0.4096,0.3599,0.3323,0.306,0.2821,0.2695,0.2399,0.224,0.1863,0.1785
200,0.5281,0.5247,0.4731,0.459,0.4303,0.4221,0.3997,0.3977,0.3744,0.294,0.283,0.2595,0.2311,0.212,0.201,0.1886
400,0.6538,0.4943,0.4901,0.4449,0.411,0.4066,0.391,0.3675,0.367,0.335,0.2641,0.2612,0.2486,0.2079,0.1879,0.161
600,0.6336,0.526,0.5223,0.4731,0.4286,0.4007,0.3965,0.3514,0.2974,0.2972,0.2862,0.2281,0.2215,0.2193,0.1913,0.1902
800,0.6426,0.5274,0.481,0.4548,0.4529,0.3933,0.374,0.3519,0.3318,0.2984,0.2792,0.2379,0.2349,0.229,0.2138,0.1645
