,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19
000,0.5184,0.5083,0.4899,0.4684,0.4371,0.4369,0.4286,0.4031,0.3777,0.377,0.3572,0.3301,0.2803,0.2646,0.2638,0.2529,0.2227,0.2119,0.2059,0.1949
200,0.4921,0.4897,0.4711,0.446,0.4396,0.4372,0.4291,0.4175,0.4115,0.3906,0.3837,0.3564,0.2954,0.2811,0.2796,0.2459,0.2303,0.1919,0.1741,0.1539
400,0.4925,0.4854,0.4785,0.45,0.4449,0.4244,0.4043,0.402,0.3912,0.3907,0.3886,0.3731,0.3136,0.2659,0.2609,0.2404,0.2141,0.2064,0.1952,0.1786
600,0.5045,0.4764,0.4573,0.4469,0.4402,0.4331,0.424,0.4152,0.4037,0.3989,0.3756,0.3698,0.2804,0.2686,0.264,0.2362,0.2181,0.2151,0.2041,0.1643
800,0.5003,0.4887,0.4857,0.4517,0.4394,0.4201,0.4089,0.3984,0.3958,0.3852,0.3566,0.3527,0.3132,0.2898,0.2746,0.2599,0.2549,0.199,0.1885,0.164
