,0,1,2,3,4,5,6,7
000,"(0.49364955380736775, 0.25401501374208635)","(0.20521498947034064, 0.19470764645059946)","(0.3427755447589663, 0.32268865642762123)","(0.2207558049947498, 0.32333068641165064)","(0.3576923337909882, 0.47698963921233606)","(0.40406196541599126, 0.39095348723066603)","(0.4463053617401402, 0.42883711659713997)","(0.36532489769067195, 0.4026997925231943)"
200,"(0.253787736720897, 0.2256345907889742)","(0.3121945368499205, 0.3998363549087296)","(0.5315846434050782, 0.32361916989830664)","(0.21002719189042637, 0.30901207671573316)","(0.2873816481817344, 0.4159437194721878)","(0.32820401648678305, 0.2659043117205825)","(0.45450786754635236, 0.45219902749479646)","(0.4514713418394379, 0.41380506307561826)"
400,"(0.343948279371737, 0.41064476801693006)","(0.33153732771043243, 0.344632146540627)","(0.45087086360989104, 0.44504331808355124)","(0.5158501010933764, 0.31115669258191114)","(0.20059285813136193, 0.19913551293595766)","(0.30672491944949926, 0.3105238342666897)","(0.4748806525745602, 0.40056703253766124)","(0.20100441253037257, 0.3962817510326886)"
600,"(0.20105553611843757, 0.1954499434379111)","(0.3700352017794283, 0.4317579823925023)","(0.3731536897790705, 0.3675697892258871)","(0.21495999071046296, 0.3465313261782855)","(0.4613796793254313, 0.21806393503486476)","(0.4844195282799726, 0.39918753400332574)","(0.35599583427141496, 0.4123537225141308)","(0.3723271835510081, 0.43689684742747015)"
800,"(0.4962298183232331, 0.34023186837558095)","(0.21816126105337988, 0.1998616925590101)","(0.49580447570718844, 0.46474744017016734)","(0.31286062008278276, 0.4160703073749228)","(0.22898905066844796, 0.46266582255489463)","(0.34406322673303635, 0.315618872586538)","(0.32703924924654576, 0.3429876778504368)","(0.42225320397090255, 0.2820331278737557)"
