plan,total_district_num,total_elected,dist_num,mode,H_vk_avg_prop,H_prop_census
200,10,4,4,slate_pl,0.7375,0.1938432688032979
200,10,4,5,slate_pl,0.7075,0.36159347654424445
200,10,4,6,slate_pl,0.7075,0.43970422344953786
200,10,4,7,slate_pl,0.7175,0.5565962775876079
200,10,4,8,slate_pl,0.695,0.4293275188735489
200,10,4,9,slate_pl,0.72,0.2712873123075916
400,10,4,0,slate_pl,0.7175,0.5168525018321618
400,10,4,1,slate_pl,0.72,0.5178765491148434
400,10,4,2,slate_pl,0.7025,0.44927010096759934
400,10,4,3,slate_pl,0.7175,0.40680153588054235
400,10,4,4,slate_pl,0.715,0.2445645174393146
400,10,4,5,slate_pl,0.7125,0.30602217549111616
400,10,4,6,slate_pl,0.7075,0.1994182409710574
400,10,4,7,slate_pl,0.7075,0.3031614901522624
400,10,4,8,slate_pl,0.71,0.4109795232051007
400,10,4,9,slate_pl,0.7075,0.20143960986032947
600,10,4,0,slate_pl,0.7075,0.5568251094028887
600,10,4,1,slate_pl,0.7125,0.2828995666206482
600,10,4,2,slate_pl,0.715,0.2174959546652595
600,10,4,3,slate_pl,0.71,0.297149878365877
600,10,4,4,slate_pl,0.715,0.20205996162421316
600,10,4,5,slate_pl,0.71,0.20412859357086674
600,10,4,6,slate_pl,0.7225,0.4366670587533576
600,10,4,7,slate_pl,0.705,0.46599067898864965
600,10,4,8,slate_pl,0.725,0.5067970454475857
600,10,4,9,slate_pl,0.71,0.3728145181572664
800,10,4,0,slate_pl,0.7025,0.5037003961952304
800,10,4,1,slate_pl,0.7175,0.380244691191986
800,10,4,2,slate_pl,0.73,0.4002353781083963
800,10,4,3,slate_pl,0.725,0.21186655406830196
800,10,4,4,slate_pl,0.69,0.5012921306308287
800,10,4,5,slate_pl,0.7025,0.20091101216214546
800,10,4,6,slate_pl,0.7,0.34831930369581576
800,10,4,7,slate_pl,0.7075,0.428259669901909
800,10,4,8,slate_pl,0.72,0.3130570534057193
800,10,4,9,slate_pl,0.7,0.24184446767326623
000,10,4,0,slate_bt,0.6375,0.44564844646846946
000,10,4,1,slate_bt,0.6075,0.18800689418156188
000,10,4,2,slate_bt,0.5975,0.2583119971542359
000,10,4,3,slate_bt,0.5975,0.19330274777030726
000,10,4,4,slate_bt,0.6375,0.44567699025656166
000,10,4,5,slate_bt,0.6275,0.39713212013453725
000,10,4,6,slate_bt,0.635,0.4773556896640368
000,10,4,7,slate_bt,0.615,0.35196026458073515
000,10,4,8,slate_bt,0.6175,0.46399969647912653
000,10,4,9,slate_bt,0.6375,0.3223723194271193
200,10,4,0,slate_bt,0.6175,0.39362502860249926
200,10,4,1,slate_bt,0.6275,0.3464524333889559
200,10,4,2,slate_bt,0.6075,0.19490913408107635
200,10,4,3,slate_bt,0.6225,0.36383932283970283
200,10,4,4,slate_bt,0.615,0.1938432688032979
200,10,4,5,slate_bt,0.6125,0.36159347654424445
200,10,4,6,slate_bt,0.64,0.43970422344953786
200,10,4,7,slate_bt,0.6225,0.5565962775876079
200,10,4,8,slate_bt,0.62,0.4293275188735489
200,10,4,9,slate_bt,0.6225,0.2712873123075916
400,10,4,0,slate_bt,0.6175,0.5168525018321618
400,10,4,1,slate_bt,0.605,0.5178765491148434
400,10,4,2,slate_bt,0.6275,0.44927010096759934
400,10,4,3,slate_bt,0.6175,0.40680153588054235
400,10,4,4,slate_bt,0.595,0.2445645174393146
400,10,4,5,slate_bt,0.6025,0.30602217549111616
400,10,4,6,slate_bt,0.6025,0.1994182409710574
400,10,4,7,slate_bt,0.6325,0.3031614901522624
400,10,4,8,slate_bt,0.6175,0.4109795232051007
400,10,4,9,slate_bt,0.61,0.20143960986032947
600,10,4,0,slate_bt,0.615,0.5568251094028887
600,10,4,1,slate_bt,0.605,0.2828995666206482
600,10,4,2,slate_bt,0.6375,0.2174959546652595
600,10,4,3,slate_bt,0.6225,0.297149878365877
600,10,4,4,slate_bt,0.615,0.20205996162421316
600,10,4,5,slate_bt,0.6275,0.20412859357086674
600,10,4,6,slate_bt,0.6275,0.4366670587533576
600,10,4,7,slate_bt,0.6275,0.46599067898864965
600,10,4,8,slate_bt,0.615,0.5067970454475857
600,10,4,9,slate_bt,0.6125,0.3728145181572664
800,10,4,0,slate_bt,0.605,0.5037003961952304
800,10,4,1,slate_bt,0.62,0.380244691191986
800,10,4,2,slate_bt,0.6425,0.4002353781083963
800,10,4,3,slate_bt,0.6,0.21186655406830196
800,10,4,4,slate_bt,0.625,0.5012921306308287
800,10,4,5,slate_bt,0.61,0.20091101216214546
800,10,4,6,slate_bt,0.625,0.34831930369581576
800,10,4,7,slate_bt,0.61,0.428259669901909
800,10,4,8,slate_bt,0.635,0.3130570534057193
800,10,4,9,slate_bt,0.6025,0.24184446767326623
000,16,5,0,cambridge,0.55,0.41830491314395674
000,16,5,1,cambridge,0.548,0.2398681328805156
000,16,5,2,cambridge,0.54,0.6129160886174034
000,16,5,3,cambridge,0.556,0.3323177899941872
000,16,5,4,cambridge,0.538,0.22397364876166798
000,16,5,5,cambridge,0.562,0.18628960595110802
000,16,5,6,cambridge,0.56,0.3059940436221568
000,16,5,7,cambridge,0.544,0.4095552292857125
000,16,5,8,cambridge,0.544,0.43613090539243743
000,16,5,9,cambridge,0.562,0.17854524486597406
000,16,5,10,cambridge,0.552,0.2821251790355372
000,16,5,11,cambridge,0.548,0.5146469445500232
000,16,5,12,cambridge,0.55,0.2695433886536958
000,16,5,13,cambridge,0.56,0.41995916670779165
000,16,5,14,cambridge,0.566,0.4800280979264771
000,16,5,15,cambridge,0.562,0.35988619835926267
200,16,5,0,cambridge,0.554,0.5246786025653993
200,16,5,1,cambridge,0.552,0.23108577337875869
200,16,5,2,cambridge,0.562,0.4220559297661394
200,16,5,3,cambridge,0.554,0.2009654496676581
200,16,5,4,cambridge,0.548,0.39967626499264586
200,16,5,5,cambridge,0.56,0.21203544804771926
200,16,5,6,cambridge,0.552,0.4730734292697591
200,16,5,7,cambridge,0.556,0.2830363546939361
200,16,5,8,cambridge,0.56,0.2595236006137874
200,16,5,9,cambridge,0.558,0.18855538960813104
200,16,5,10,cambridge,0.554,0.4589695033969555
200,16,5,11,cambridge,0.55,0.37442909860611867
200,16,5,12,cambridge,0.556,0.29401423260039367
200,16,5,13,cambridge,0.56,0.43030348518504913
200,16,5,14,cambridge,0.562,0.3977214004003047
200,16,5,15,cambridge,0.548,0.5280681805254601
400,16,5,0,cambridge,0.544,0.26116360165606856
400,16,5,1,cambridge,0.552,0.24858846784672525
400,16,5,2,cambridge,0.564,0.6537783297688455
400,16,5,3,cambridge,0.544,0.36696103490503235
400,16,5,4,cambridge,0.546,0.18788520714217588
400,16,5,5,cambridge,0.56,0.4942835811860611
400,16,5,6,cambridge,0.538,0.39096496406821896
400,16,5,7,cambridge,0.544,0.41103831971590715
400,16,5,8,cambridge,0.554,0.20788085070270565
400,16,5,9,cambridge,0.548,0.33496691046909083
400,16,5,10,cambridge,0.56,0.2641191823894678
400,16,5,11,cambridge,0.528,0.16095822891176295
400,16,5,12,cambridge,0.558,0.3675433952511172
400,16,5,13,cambridge,0.544,0.4900508332694641
400,16,5,14,cambridge,0.558,0.4449210896196073
400,16,5,15,cambridge,0.568,0.40660216078857264
600,16,5,0,cambridge,0.562,0.47306202974521017
600,16,5,1,cambridge,0.556,0.526013746492575
600,16,5,2,cambridge,0.568,0.29722504322174265
600,16,5,3,cambridge,0.532,0.29735755928805147
600,16,5,4,cambridge,0.558,0.22147538950321047
600,16,5,5,cambridge,0.542,0.19130968561843364
600,16,5,6,cambridge,0.558,0.4007219412081761
600,16,5,7,cambridge,0.564,0.4286221660671469
600,16,5,8,cambridge,0.552,0.19019338235135896
600,16,5,9,cambridge,0.56,0.35144503216133616
600,16,5,10,cambridge,0.546,0.5222655344307906
600,16,5,11,cambridge,0.556,0.22814575498220158
600,16,5,12,cambridge,0.558,0.6335747206683106
600,16,5,13,cambridge,0.536,0.3964840537813411
600,16,5,14,cambridge,0.554,0.21927177641054602
600,16,5,15,cambridge,0.552,0.28618882742610935
800,16,5,0,cambridge,0.552,0.6425518277739776
800,16,5,1,cambridge,0.55,0.23790472696943804
800,16,5,2,cambridge,0.542,0.4528924667057777
800,16,5,3,cambridge,0.548,0.3318198351276367
800,16,5,4,cambridge,0.552,0.45477968761795984
800,16,5,5,cambridge,0.552,0.37399007964424646
800,16,5,6,cambridge,0.566,0.2137549701410101
800,16,5,7,cambridge,0.558,0.22899369932472094
800,16,5,8,cambridge,0.556,0.5274284813341976
800,16,5,9,cambridge,0.556,0.2984223871170486
800,16,5,10,cambridge,0.556,0.27919086903684825
800,16,5,11,cambridge,0.55,0.23487284672904357
800,16,5,12,cambridge,0.536,0.3518911245272189
800,16,5,13,cambridge,0.558,0.16451929973700288
800,16,5,14,cambridge,0.548,0.4809896388128677
800,16,5,15,cambridge,0.552,0.3932528895253728
000,16,5,0,slate_pl,0.6,0.41830491314395674
000,16,5,1,slate_pl,0.598,0.2398681328805156
000,16,5,2,slate_pl,0.598,0.6129160886174034
000,16,5,3,slate_pl,0.596,0.3323177899941872
000,16,5,4,slate_pl,0.598,0.22397364876166798
000,16,5,5,slate_pl,0.596,0.18628960595110802
000,16,5,6,slate_pl,0.596,0.3059940436221568
000,16,5,7,slate_pl,0.598,0.4095552292857125
000,16,5,8,slate_pl,0.598,0.43613090539243743
000,16,5,9,slate_pl,0.596,0.17854524486597406
000,16,5,10,slate_pl,0.596,0.2821251790355372
000,16,5,11,slate_pl,0.598,0.5146469445500232
000,16,5,12,slate_pl,0.598,0.2695433886536958
000,16,5,13,slate_pl,0.596,0.41995916670779165
000,16,5,14,slate_pl,0.598,0.4800280979264771
