plan,total_district_num,total_elected,dist_num,mode,H_vk_avg_prop,H_prop_census
400,8,5,7,slate_bt,0.572,0.20100441253037257
600,8,5,0,slate_bt,0.558,0.20105553611843757
600,8,5,1,slate_bt,0.56,0.3700352017794283
600,8,5,2,slate_bt,0.566,0.3731536897790705
600,8,5,3,slate_bt,0.57,0.21495999071046296
600,8,5,4,slate_bt,0.566,0.4613796793254313
600,8,5,5,slate_bt,0.57,0.4844195282799726
600,8,5,6,slate_bt,0.562,0.35599583427141496
600,8,5,7,slate_bt,0.56,0.3723271835510081
800,8,5,0,slate_bt,0.57,0.4962298183232331
800,8,5,1,slate_bt,0.566,0.21816126105337988
800,8,5,2,slate_bt,0.554,0.49580447570718844
800,8,5,3,slate_bt,0.568,0.31286062008278276
800,8,5,4,slate_bt,0.57,0.22898905066844796
800,8,5,5,slate_bt,0.57,0.34406322673303635
800,8,5,6,slate_bt,0.58,0.32703924924654576
800,8,5,7,slate_bt,0.57,0.42225320397090255
000,10,4,0,cambridge,0.62,0.44564844646846946
000,10,4,1,cambridge,0.6125,0.18800689418156188
000,10,4,2,cambridge,0.6075,0.2583119971542359
000,10,4,3,cambridge,0.59,0.19330274777030726
000,10,4,4,cambridge,0.6,0.44567699025656166
000,10,4,5,cambridge,0.6025,0.39713212013453725
000,10,4,6,cambridge,0.615,0.4773556896640368
000,10,4,7,cambridge,0.62,0.35196026458073515
000,10,4,8,cambridge,0.605,0.46399969647912653
000,10,4,9,cambridge,0.605,0.3223723194271193
200,10,4,0,cambridge,0.6225,0.39362502860249926
200,10,4,1,cambridge,0.6225,0.3464524333889559
200,10,4,2,cambridge,0.595,0.19490913408107635
200,10,4,3,cambridge,0.6075,0.36383932283970283
200,10,4,4,cambridge,0.6225,0.1938432688032979
200,10,4,5,cambridge,0.615,0.36159347654424445
200,10,4,6,cambridge,0.5925,0.43970422344953786
200,10,4,7,cambridge,0.62,0.5565962775876079
200,10,4,8,cambridge,0.62,0.4293275188735489
200,10,4,9,cambridge,0.61,0.2712873123075916
400,10,4,0,cambridge,0.625,0.5168525018321618
400,10,4,1,cambridge,0.62,0.5178765491148434
400,10,4,2,cambridge,0.6025,0.44927010096759934
400,10,4,3,cambridge,0.615,0.40680153588054235
400,10,4,4,cambridge,0.61,0.2445645174393146
400,10,4,5,cambridge,0.585,0.30602217549111616
400,10,4,6,cambridge,0.5975,0.1994182409710574
400,10,4,7,cambridge,0.61,0.3031614901522624
400,10,4,8,cambridge,0.6125,0.4109795232051007
400,10,4,9,cambridge,0.5875,0.20143960986032947
600,10,4,0,cambridge,0.615,0.5568251094028887
600,10,4,1,cambridge,0.615,0.2828995666206482
600,10,4,2,cambridge,0.615,0.2174959546652595
600,10,4,3,cambridge,0.605,0.297149878365877
600,10,4,4,cambridge,0.5975,0.20205996162421316
600,10,4,5,cambridge,0.615,0.20412859357086674
600,10,4,6,cambridge,0.63,0.4366670587533576
600,10,4,7,cambridge,0.6225,0.46599067898864965
600,10,4,8,cambridge,0.6075,0.5067970454475857
600,10,4,9,cambridge,0.615,0.3728145181572664
800,10,4,0,cambridge,0.6,0.5037003961952304
800,10,4,1,cambridge,0.61,0.380244691191986
800,10,4,2,cambridge,0.6375,0.4002353781083963
800,10,4,3,cambridge,0.605,0.21186655406830196
800,10,4,4,cambridge,0.6125,0.5012921306308287
800,10,4,5,cambridge,0.5975,0.20091101216214546
800,10,4,6,cambridge,0.615,0.34831930369581576
800,10,4,7,cambridge,0.63,0.428259669901909
800,10,4,8,cambridge,0.645,0.3130570534057193
800,10,4,9,cambridge,0.6175,0.24184446767326623
000,10,4,0,slate_pl,0.7175,0.44564844646846946
000,10,4,1,slate_pl,0.72,0.18800689418156188
000,10,4,2,slate_pl,0.68,0.2583119971542359
000,10,4,3,slate_pl,0.71,0.19330274777030726
000,10,4,4,slate_pl,0.7175,0.44567699025656166
000,10,4,5,slate_pl,0.7225,0.39713212013453725
000,10,4,6,slate_pl,0.715,0.4773556896640368
000,10,4,7,slate_pl,0.705,0.35196026458073515
000,10,4,8,slate_pl,0.7,0.46399969647912653
000,10,4,9,slate_pl,0.72,0.3223723194271193
200,10,4,0,slate_pl,0.72,0.39362502860249926
200,10,4,1,slate_pl,0.7225,0.3464524333889559
200,10,4,2,slate_pl,0.71,0.19490913408107635
200,10,4,3,slate_pl,0.715,0.36383932283970283
