GEOID,assignment
060014238003,3
060014239011,3
060014239012,3
060014239021,3
060014239022,3
060014240011,3
060014240012,3
060014240013,3
060014240014,3
060014240021,3
060014240022,3
060014251011,3
060014251012,3
060014251021,3
060014251022,3
060014251023,3
060014251031,3
060014251032,3
060014251033,3
060014251041,3
060014251042,3
060014251043,3
060014251044,3
060014251045,3
060014261001,3
060014261002,3
060014261003,3
060014261004,3
060014261005,3
060014261006,3
060014262001,3
060014262002,3
060014262003,3
060014271001,3
060014271002,3
060014271003,3
060014272001,3
060014272002,3
060014272003,3
060014272004,3
060014272005,3
060014273001,3
060014273002,3
060014273003,3
060014273004,3
060014273005,3
060014276001,3
060014276002,3
060014276003,3
060014277001,3
060014277002,3
060014277003,3
060014277004,3
060014278001,3
060014278002,3
060014278003,3
060014278004,3
060014278005,3
060014279001,3
060014279002,3
060014279003,3
060014279004,3
060014279005,3
060014280001,3
060014280002,3
060014280003,3
060014281001,3
060014281002,3
060014281003,3
060014281004,3
060014282001,3
060014282002,3
060014282003,3
060014282004,3
060014282005,3
060014283011,3
060014283012,3
060014283013,3
060014283014,3
060014283021,3
060014283022,3
060014283023,3
060014284001,3
060014284002,3
060014284003,3
060014285001,3
060014285002,3
060014285003,3
060014286001,3
060014286002,3
060014287001,3
060014287002,3
060014287003,3
060014301011,4
060014301012,4
060014301013,4
060014301014,4
060014301021,4
060014302001,4
060014302002,4
060014302003,4
060014302004,4
060014302005,4
060014303001,4
060014303002,4
060014303003,4
060014304001,4
060014304002,4
060014305001,4
060014305002,4
060014305003,4
060014306001,4
060014306002,4
060014306003,4
060014306004,4
060014307001,4
060014307002,4
060014307003,4
060014308001,4
060014308002,4
060014308003,4
060014308004,4
060014309001,4
060014309002,4
060014309003,4
060014310001,4
060014310002,4
060014311001,4
060014311002,4
060014312001,4
060014312002,4
060014312003,4
060014321001,4
060014321002,4
060014321003,4
060014322001,3
060014322002,4
060014322003,4
060014323001,3
060014323002,3
060014323003,3
060014324001,3
060014324002,3
060014324003,3
060014325011,3
060014325012,3
060014325013,3
060014325021,3
060014325022,3
060014325023,3
060014326011,3
060014326012,3
060014326021,3
060014326022,4
060014326023,4
060014327001,3
060014327002,3
060014327003,3
060014328001,4
060014328002,3
060014328003,4
060014330001,3
060014330002,3
060014330003,4
060014330004,4
060014331021,4
060014331022,4
060014331031,3
060014331032,4
060014331041,3
060014331042,3
060014331043,3
060014332001,3
060014332002,4
060014332003,4
060014332004,3
060014333001,3
060014333002,3
060014333003,3
060014333004,3
060014333005,3
060014334001,3
060014334002,3
060014334003,3
060014334004,3
060014334005,3
060014334006,3
060014335001,3
060014335002,3
060014335003,3
060014335004,3
060014336001,3
060014336002,3
060014336003,3
060014336004,3
060014337001,4
060014337002,4
060014337003,4
060014338011,4
060014338012,4
060014338021,4
060014338022,4
060014339001,4
060014339002,4
060014339003,4
060014339004,4
060014340001,4
060014340002,4
060014340003,4
060014351021,4
060014351022,4
060014351023,4
060014351031,4
060014351032,4
060014351033,4
060014351034,4
060014351041,4
060014351042,0
060014351043,4
060014351044,0
060014352001,4
060014352002,4
060014353001,4
060014353002,4
060014353003,4
060014354001,4
060014354002,4
060014354003,4
060014355001,4
060014355002,4
060014355003,4
060014356011,4
060014356012,4
060014356013,4
060014356021,4
060014356022,4
060014356023,4
060014356024,4
060014357001,4
060014357002,4
060014357003,4
060014357004,0
060014358001,4
060014358002,4
060014358003,4
060014358004,3
060014359001,3
060014359002,3
060014359003,3
060014359004,3
060014360001,4
060014360002,3
060014360003,0
060014361001,0
060014361002,4
060014361003,4
