GEOID,assignment
060014001001,4
060014001002,4
060014002001,4
060014002002,4
060014003001,4
060014003002,4
060014003003,4
060014003004,4
060014004001,4
060014004002,4
060014004003,4
060014005001,4
060014005002,4
060014005003,4
060014006001,4
060014006002,4
060014007001,4
060014007002,4
060014007003,4
060014007004,4
060014008001,4
060014008002,4
060014008003,4
060014009001,4
060014009002,4
060014010001,4
060014010002,4
060014010003,4
060014010004,4
060014010005,6
060014010006,4
060014011001,4
060014011002,4
060014011003,4
060014011004,4
060014012001,4
060014012002,6
060014012003,4
060014013001,6
060014013002,6
060014013003,6
060014014001,6
060014014002,6
060014014003,6
060014015001,6
060014015002,6
060014015003,6
060014016001,6
060014016002,6
060014017001,6
060014017002,6
060014017003,6
060014018001,6
060014018002,6
060014022001,6
060014022002,6
060014022003,6
060014024001,6
060014024002,6
060014025001,6
060014025002,6
060014026001,6
060014027001,6
060014027002,6
060014028011,6
060014028012,6
060014028013,6
060014028021,6
060014028022,6
060014029001,6
060014029002,6
060014030001,6
060014030002,6
060014030003,6
060014031001,6
060014031002,6
060014033011,6
060014033012,6
060014033021,6
060014033022,6
060014033023,6
060014034011,6
060014034012,6
060014034013,6
060014034021,6
060014034022,6
060014035011,6
060014035012,6
060014035013,6
060014035014,6
060014035021,6
060014035022,6
060014036001,6
060014036002,6
060014036003,6
060014037011,6
060014037012,6
060014037021,6
060014037022,6
060014038001,6
060014038002,6
060014038003,6
060014038004,6
060014039001,6
060014039002,6
060014039003,6
060014040001,6
060014040002,6
060014040003,6
060014041011,6
060014041012,6
060014041013,6
060014041021,6
060014041022,6
060014042001,6
060014042002,6
060014042003,6
060014043001,4
060014043002,4
060014043003,6
060014044001,4
060014044002,6
060014044003,4
060014044004,4
060014045011,6
060014045021,6
060014045022,6
060014045023,6
060014045024,6
060014046001,6
060014046002,6
060014046003,6
060014046004,6
060014047001,6
060014047002,6
060014048001,6
060014048002,6
060014049001,6
060014049002,6
060014049003,6
060014049004,6
060014050001,6
060014050002,6
060014050003,6
060014051001,6
060014051002,6
060014051003,6
060014051004,6
060014051005,6
060014052001,6
060014052002,6
060014052003,6
060014052004,6
060014053011,6
060014053012,6
060014053013,6
060014053021,6
060014053022,6
060014054011,6
060014054012,6
060014054013,6
060014054021,6
060014054022,6
060014055001,6
060014055002,6
060014055003,6
060014055004,6
060014056001,6
060014056002,6
060014056003,6
060014057001,6
060014057002,6
060014057003,6
060014058001,6
060014058002,6
060014058003,6
060014058004,6
060014059011,6
060014059012,6
060014059013,6
060014059021,6
060014059022,6
060014060001,6
060014060002,6
060014060003,6
060014060004,6
060014061001,6
060014061002,6
060014061003,6
060014061004,6
060014062011,6
060014062012,6
060014062013,6
060014062014,6
060014062021,6
060014062022,6
060014062023,6
060014063001,6
060014063002,6
060014063003,6
060014063004,6
060014064001,6
060014064002,6
060014065001,6
060014065002,6
060014065003,6
060014065004,6
060014066011,6
060014066012,6
060014066013,6
060014066014,6
060014066021,6
060014066022,6
060014067001,6
060014067002,6
060014067003,6
060014067004,6
060014067005,6
060014068001,6
060014068002,6
060014068003,6
060014068004,6
060014069001,6
060014069002,6
060014069003,6
060014070001,6
060014070002,6
060014070003,6
060014070004,6
060014070005,6
060014071011,6
060014071012,6
060014071021,6
060014071022,6
060014071023,6
060014071024,6
060014072001,6
060014072002,6
060014072003,6
060014072004,6
060014073001,6
060014073002,6
060014074001,6
060014074002,6
060014074003,6
060014075001,6
060014075002,6
060014075003,6
060014076001,6
060014076002,6
060014076003,6
060014076004,6
060014076005,6
060014077001,6
060014077002,6
060014077003,6
060014077004,6
060014078001,6
060014078002,6
060014079001,6
060014079002,6
060014079003,6
060014080001,4
060014080002,4
060014081001,6
060014081002,4
060014081003,4
060014081004,4
060014081005,6
060014082001,6
060014082002,6
060014082003,6
060014083001,6
060014083002,4
060014083003,4
060014083004,4
060014083005,4
060014084001,4
060014084002,4
060014084003,4
060014085001,4
060014085002,4
060014085003,6
060014085004,6
060014085005,4
060014086001,4
060014086002,6
060014086003,6
060014086004,6
060014087001,6
060014087002,6
060014087003,6
060014087004,6
060014087005,6
060014087006,6
060014088001,6
060014088002,6
060014088003,6
060014088004,6
060014089001,4
060014089002,6
060014090001,4
060014090002,6
060014090003,6
060014091001,6
060014091002,6
060014092001,4
060014092002,4
060014093001,4
060014093002,4
060014093003,4
060014093004,4
060014094001,4
060014094002,4
060014094003,4
060014095001,4
060014095002,4
060014095003,4
060014096001,4
060014096002,4
060014096003,4
060014096004,4
060014096005,4
060014097001,4
060014097002,4
060014097003,4
060014097004,4
060014098001,4
060014098002,4
060014098003,4
060014099001,4
060014099002,4
060014099003,4
060014099004,4
060014100001,4
060014100002,4
060014100003,4
060014101001,4
060014101002,4
060014102001,4
060014102002,4
060014102003,4
060014103001,4
060014103002,4
060014103003,4
060014104001,4
060014104002,4
060014104003,4
060014105001,6
060014105002,6
060014201001,4
060014201002,4
060014201003,4
060014202001,4
060014202002,4
060014202003,4
060014203011,6
060014203021,4
060014203022,6
060014204011,4
060014204012,4
060014204021,4
060014204022,4
060014205001,4
060014205002,4
060014206001,4
060014206002,4
060014206003,4
060014211001,4
060014211002,4
060014212001,4
060014212002,4
060014212003,4
060014212004,4
060014213001,4
060014213002,4
060014213003,4
060014213004,4
060014214001,4
060014214002,4
060014215001,4
060014215002,4
060014215003,4
060014216001,4
060014216002,4
060014216003,4
060014216004,4
060014217001,4
060014217002,4
060014217003,4
060014218001,4
060014218002,4
060014219001,4
060014219002,4
060014219003,4
060014219004,4
060014220001,4
060014220002,4
060014221001,4
060014221002,4
060014222001,4
060014222002,4
060014222003,4
060014223001,4
060014223002,4
060014223003,4
060014224001,4
060014224002,4
060014224003,4
060014224004,4
060014225001,4
060014225002,4
060014225003,4
060014227001,4
060014227002,4
060014227003,4
060014227004,4
060014228001,4
060014228002,4
060014228003,4
060014228004,4
060014229011,4
060014229012,4
060014229021,4
060014229022,4
060014229023,4
060014230001,4
060014230002,4
060014230003,4
060014231001,4
060014231002,4
060014231003,4
060014231004,4
060014232001,4
060014232002,4
060014233001,4
060014233002,4
060014233003,4
060014234001,4
060014234002,4
060014234003,4
060014234004,4
060014235001,4
060014235002,4
060014235003,4
060014236011,4
060014236012,4
060014236021,4
060014236022,4
060014236023,4
060014237001,4
060014237002,4
060014237003,4
060014238001,4
060014238002,4
060014238003,4
060014239011,4
060014239012,4
060014239021,4
060014239022,4
060014240011,4
060014240012,4
060014240013,4
060014240014,4
060014240021,4
060014240022,4
060014251011,6
060014251012,6
060014251021,6
060014251022,6
060014251023,6
060014251031,6
060014251032,4
060014251033,4
060014251041,4
060014251042,6
060014251043,6
060014251044,4
060014251045,4
060014261001,6
060014261002,6
060014261003,6
060014261004,6
060014261005,6
060014261006,6
060014262001,6
060014262002,6
060014262003,6
060014271001,6
060014271002,6
060014271003,6
060014272001,6
060014272002,6
060014272003,6
060014272004,6
060014272005,6
060014273001,6
060014273002,6
060014273003,6
060014273004,6
060014273005,6
060014276001,6
060014276002,6
060014276003,6
060014277001,6
060014277002,6
060014277003,6
060014277004,6
060014278001,6
060014278002,6
060014278003,6
060014278004,6
060014278005,6
060014279001,6
060014279002,6
060014279003,6
060014279004,6
060014279005,6
060014280001,6
060014280002,6
060014280003,6
060014281001,6
060014281002,6
060014281003,6
060014281004,6
060014282001,6
060014282002,6
060014282003,6
060014282004,6
060014282005,6
060014283011,6
060014283012,6
060014283013,6
060014283014,6
060014283021,6
060014283022,6
060014283023,6
060014284001,6
060014284002,6
060014284003,6
060014285001,6
060014285002,6
060014285003,6
060014286001,6
060014286002,6
060014287001,6
060014287002,6
060014287003,6
060014301011,4
060014301012,4
060014301013,4
060014301014,4
060014301021,4
060014302001,4
060014302002,4
060014302003,4
060014302004,4
060014302005,4
060014303001,4
060014303002,4
060014303003,4
060014304001,4
060014304002,4
060014305001,6
060014305002,6
060014305003,6
060014306001,4
060014306002,4
060014306003,6
060014306004,4
060014307001,4
060014307002,4
060014307003,4
060014308001,4
060014308002,4
060014308003,4
060014308004,4
060014309001,4
060014309002,4
060014309003,4
060014310001,4
060014310002,4
060014311001,4
060014311002,4
060014312001,4
060014312002,4
060014312003,4
060014321001,4
060014321002,4
060014321003,4
060014322001,4
060014322002,4
060014322003,4
060014323001,4
060014323002,4
060014323003,4
060014324001,4
060014324002,6
060014324003,6
060014325011,4
060014325012,4
060014325013,4
060014325021,4
060014325022,4
060014325023,4
060014326011,4
060014326012,6
060014326021,6
060014326022,4
060014326023,4
060014327001,4
060014327002,4
060014327003,4
060014328001,4
060014328002,4
060014328003,4
060014330001,4
060014330002,4
060014330003,4
060014330004,6
060014331021,6
060014331022,6
060014331031,6
060014331032,6
060014331041,6
060014331042,4
060014331043,6
060014332001,6
060014332002,6
060014332003,6
060014332004,6
060014333001,6
060014333002,6
060014333003,6
060014333004,6
060014333005,6
060014334001,6
060014334002,6
060014334003,6
060014334004,6
060014334005,6
060014334006,6
060014335001,6
060014335002,6
060014335003,6
060014335004,6
060014336001,6
060014336002,6
060014336003,6
060014336004,6
060014337001,6
060014337002,6
060014337003,6
060014338011,6
060014338012,6
060014338021,6
060014338022,6
060014339001,6
060014339002,6
060014339003,6
060014339004,6
060014340001,6
060014340002,6
060014340003,6
060014351021,4
060014351022,4
060014351023,4
060014351031,4
060014351032,4
060014351033,4
060014351034,4
060014351041,4
060014351042,4
060014351043,4
060014351044,4
060014352001,4
060014352002,4
060014353001,4
060014353002,4
060014353003,4
060014354001,4
060014354002,4
060014354003,4
060014355001,4
060014355002,4
060014355003,4
060014356011,4
060014356012,4
060014356013,4
060014356021,4
060014356022,4
060014356023,4
060014356024,6
060014357001,4
060014357002,4
060014357003,4
060014357004,4
060014358001,6
060014358002,6
060014358003,6
060014358004,6
060014359001,6
060014359002,6
060014359003,6
060014359004,6
060014360001,6
060014360002,6
060014360003,6
060014361001,6
060014361002,6
060014361003,6
060014362001,4
060014362002,6
060014363011,4
060014363012,4
060014363021,4
060014363022,4
060014363023,4
060014364021,4
060014364022,4
060014364031,4
060014364032,4
060014364033,4
060014364034,4
060014364041,4
060014364042,4
060014364043,4
060014365001,4
060014365002,4
060014365003,4
060014366011,4
060014366012,4
060014366013,4
060014366021,4
060014366022,4
060014366023,4
060014367001,4
060014367002,4
060014368001,4
060014368002,4
060014369001,4
060014369002,4
060014369003,6
060014369004,6
060014370001,6
060014370002,6
060014370003,6
060014371011,4
060014371012,4
060014371013,4
060014371014,6
060014371021,4
060014371022,4
060014371023,4
060014372001,6
060014372002,6
060014372003,6
060014372004,6
060014372005,6
060014373001,4
060014373002,4
060014373003,4
060014374001,4
060014374002,4
060014375001,4
060014375002,4
060014376001,4
060014376002,4
060014377011,4
060014377012,4
060014377013,4
060014377021,4
060014377022,4
060014377023,4
060014378001,4
060014378002,4
060014378003,4
060014379001,4
060014379002,4
060014380001,4
060014380002,4
060014381001,4
060014381002,4
