GEOID,assignment
060014001001,25
060014001002,25
060014002001,50
060014002002,50
060014003001,50
060014003002,50
060014003003,50
060014003004,50
060014004001,50
060014004002,50
060014004003,50
060014005001,50
060014005002,50
060014005003,50
060014006001,50
060014006002,50
060014007001,50
060014007002,50
060014007003,50
060014007004,50
060014008001,50
060014008002,50
060014008003,50
060014009001,50
060014009002,50
060014010001,50
060014010002,50
060014010003,50
060014010004,50
060014010005,50
060014010006,50
060014011001,50
060014011002,50
060014011003,50
060014011004,50
060014012001,50
060014012002,50
060014012003,50
060014013001,50
060014013002,50
060014013003,50
060014014001,50
060014014002,50
060014014003,50
060014015001,50
060014015002,50
060014015003,50
060014016001,50
060014016002,50
060014017001,50
060014017002,50
060014017003,50
060014018001,50
060014018002,50
060014022001,50
060014022002,50
060014022003,50
060014024001,50
060014024002,19
060014025001,19
060014025002,19
060014026001,19
060014027001,50
060014027002,50
060014028011,50
060014028012,50
060014028013,50
060014028021,19
060014028022,50
060014029001,50
060014029002,50
060014030001,50
060014030002,50
060014030003,50
060014031001,19
060014031002,19
060014033011,50
060014033012,50
060014033021,50
060014033022,50
060014033023,50
060014034011,50
060014034012,50
060014034013,50
060014034021,50
060014034022,50
060014035011,50
060014035012,50
060014035013,50
060014035014,50
060014035021,50
060014035022,50
060014036001,50
060014036002,50
060014036003,50
060014037011,50
060014037012,50
060014037021,50
060014037022,50
060014038001,50
060014038002,50
060014038003,50
060014038004,50
060014039001,50
060014039002,50
060014039003,50
060014040001,50
060014040002,50
060014040003,50
060014041011,50
060014041012,50
060014041013,50
060014041021,50
060014041022,50
060014042001,50
060014042002,50
060014042003,50
060014043001,50
060014043002,50
060014043003,50
060014044001,50
060014044002,50
060014044003,50
060014044004,50
060014045011,50
060014045021,50
060014045022,50
060014045023,50
060014045024,50
060014046001,50
060014046002,50
060014046003,50
060014046004,50
060014047001,50
060014047002,50
060014048001,50
060014048002,50
060014049001,50
060014049002,50
060014049003,50
060014049004,50
060014050001,50
060014050002,50
060014050003,50
060014051001,50
060014051002,50
060014051003,50
060014051004,50
060014051005,50
060014052001,50
060014052002,50
060014052003,50
060014052004,50
060014053011,50
060014053012,50
060014053013,50
060014053021,50
060014053022,50
060014054011,50
060014054012,50
060014054013,50
060014054021,50
060014054022,50
060014055001,50
060014055002,50
060014055003,50
060014055004,50
060014056001,50
060014056002,50
060014056003,50
060014057001,50
060014057002,50
060014057003,50
060014058001,50
060014058002,50
060014058003,50
060014058004,50
060014059011,50
060014059012,50
060014059013,50
060014059021,50
060014059022,50
060014060001,50
060014060002,50
060014060003,50
060014060004,50
060014061001,50
060014061002,50
060014061003,50
060014061004,50
060014062011,50
060014062012,50
060014062013,50
060014062014,50
060014062021,50
060014062022,50
060014062023,50
060014063001,50
060014063002,50
060014063003,50
060014063004,50
060014064001,50
060014064002,50
060014065001,50
060014065002,50
060014065003,50
060014065004,50
060014066011,50
060014066012,50
060014066013,50
060014066014,50
060014066021,50
060014066022,50
060014067001,50
060014067002,50
060014067003,50
060014067004,50
060014067005,50
060014068001,50
060014068002,50
060014068003,50
060014068004,50
060014069001,50
060014069002,50
060014069003,50
060014070001,50
060014070002,50
060014070003,50
060014070004,50
060014070005,50
060014071011,50
060014071012,50
060014071021,50
060014071022,50
060014071023,50
060014071024,50
060014072001,50
060014072002,50
060014072003,50
060014072004,50
060014073001,50
060014073002,50
060014074001,50
060014074002,50
060014074003,50
060014075001,50
060014075002,50
060014075003,50
060014076001,50
060014076002,50
060014076003,50
060014076004,50
060014076005,50
060014077001,50
060014077002,50
060014077003,50
060014077004,50
060014078001,50
060014078002,50
060014079001,50
060014079002,50
060014079003,50
060014080001,50
060014080002,50
060014081001,36
