GEOID,assignment
060014001001,11
060014001002,11
060014002001,11
060014002002,11
060014003001,11
060014003002,11
060014003003,11
060014003004,11
060014004001,11
060014004002,11
060014004003,11
060014005001,11
060014005002,11
060014005003,11
060014006001,11
060014006002,11
060014007001,11
060014007002,11
060014007003,11
060014007004,11
060014008001,11
060014008002,11
060014008003,11
060014009001,11
060014009002,11
060014010001,11
060014010002,11
060014010003,11
060014010004,11
060014010005,11
060014010006,11
060014011001,11
060014011002,11
060014011003,11
060014011004,11
060014012001,11
060014012002,11
060014012003,11
060014013001,11
060014013002,11
060014013003,11
060014014001,11
060014014002,11
060014014003,11
060014015001,11
060014015002,11
060014015003,11
060014016001,11
060014016002,11
060014017001,11
060014017002,11
060014017003,11
060014018001,11
060014018002,11
060014022001,11
060014022002,11
060014022003,11
060014024001,11
060014024002,11
060014025001,11
060014025002,11
060014026001,11
060014027001,11
060014027002,11
060014028011,11
060014028012,11
060014028013,11
060014028021,11
060014028022,11
060014029001,11
060014029002,11
060014030001,11
060014030002,11
060014030003,11
060014031001,11
060014031002,11
060014033011,11
060014033012,11
060014033021,11
060014033022,11
060014033023,11
060014034011,11
060014034012,11
060014034013,11
060014034021,11
060014034022,11
060014035011,11
060014035012,11
060014035013,11
060014035014,11
060014035021,11
060014035022,11
060014036001,11
060014036002,11
060014036003,11
060014037011,11
060014037012,11
060014037021,11
060014037022,11
060014038001,11
060014038002,11
060014038003,11
060014038004,11
060014039001,11
060014039002,11
060014039003,11
060014040001,11
060014040002,11
060014040003,11
060014041011,11
060014041012,11
060014041013,11
060014041021,11
060014041022,11
060014042001,11
060014042002,11
060014042003,11
060014043001,11
060014043002,11
060014043003,11
060014044001,11
060014044002,11
060014044003,11
060014044004,11
060014045011,11
060014045021,11
060014045022,11
060014045023,11
060014045024,11
060014046001,11
060014046002,11
060014046003,11
060014046004,11
060014047001,11
060014047002,11
060014048001,11
060014048002,11
060014049001,11
060014049002,11
060014049003,11
060014049004,11
060014050001,11
060014050002,11
060014050003,11
060014051001,11
060014051002,11
060014051003,11
060014051004,11
060014051005,11
060014052001,11
060014052002,11
060014052003,11
060014052004,11
060014053011,11
060014053012,11
060014053013,11
060014053021,11
060014053022,11
060014054011,11
060014054012,11
060014054013,11
060014054021,11
060014054022,11
060014055001,11
060014055002,11
060014055003,11
060014055004,11
060014056001,11
060014056002,11
060014056003,11
060014057001,11
060014057002,11
060014057003,11
060014058001,11
060014058002,11
060014058003,11
060014058004,11
060014059011,7
060014059012,11
060014059013,11
060014059021,11
060014059022,11
060014060001,11
060014060002,11
060014060003,11
060014060004,11
060014061001,7
060014061002,7
060014061003,7
060014061004,7
060014062011,7
060014062012,11
060014062013,7
060014062014,7
060014062021,7
060014062022,7
060014062023,7
060014063001,7
060014063002,11
060014063003,11
060014063004,11
060014064001,11
060014064002,11
060014065001,11
060014065002,7
060014065003,7
060014065004,11
060014066011,11
060014066012,11
060014066013,11
060014066014,11
060014066021,11
060014066022,11
060014067001,11
060014067002,11
060014067003,11
060014067004,11
060014067005,11
060014068001,11
060014068002,11
060014068003,11
060014068004,11
060014069001,11
060014069002,11
060014069003,11
060014070001,11
060014070002,11
060014070003,7
060014070004,11
060014070005,11
060014071011,7
060014071012,7
060014071021,7
060014071022,7
060014071023,7
060014071024,7
060014072001,7
060014072002,7
060014072003,7
060014072004,7
060014073001,7
060014073002,7
060014074001,11
060014074002,11
060014074003,7
060014075001,11
060014075002,11
060014075003,11
060014076001,7
060014076002,7
060014076003,11
060014076004,11
060014076005,7
060014077001,11
060014077002,11
060014077003,11
060014077004,11
060014078001,11
060014078002,11
060014079001,11
060014079002,11
060014079003,11
060014080001,11
060014080002,11
060014081001,11
060014081002,11
060014081003,11
060014081004,11
060014081005,11
060014082001,11
060014082002,11
060014082003,11
060014083001,11
060014083002,11
060014083003,11
060014083004,11
060014083005,11
060014084001,11
060014084002,11
060014084003,11
060014085001,11
060014085002,11
060014085003,11
060014085004,11
060014085005,11
060014086001,11
060014086002,11
060014086003,11
060014086004,11
060014087001,11
060014087002,11
060014087003,7
060014087004,11
060014087005,7
060014087006,7
060014088001,7
060014088002,7
060014088003,7
060014088004,7
060014089001,7
060014089002,11
060014090001,7
060014090002,7
060014090003,7
060014091001,7
060014091002,7
060014092001,7
060014092002,7
060014093001,7
060014093002,7
060014093003,7
060014093004,7
060014094001,7
060014094002,7
060014094003,11
060014095001,7
060014095002,11
060014095003,11
060014096001,11
060014096002,11
060014096003,11
060014096004,11
060014096005,11
060014097001,11
060014097002,11
060014097003,11
060014097004,11
060014098001,11
060014098002,11
060014098003,11
060014099001,11
060014099002,11
060014099003,11
060014099004,11
060014100001,11
060014100002,11
060014100003,11
060014101001,11
060014101002,11
060014102001,11
060014102002,11
060014102003,11
060014103001,11
060014103002,11
060014103003,11
060014104001,11
060014104002,11
060014104003,11
060014105001,11
060014105002,11
060014201001,11
060014201002,11
060014201003,11
060014202001,11
060014202002,11
060014202003,11
060014203011,11
060014203021,11
060014203022,7
060014204011,11
060014204012,11
060014204021,11
060014204022,11
060014205001,11
060014205002,11
060014206001,11
060014206002,11
060014206003,11
060014211001,7
060014211002,11
060014212001,11
060014212002,11
060014212003,11
