GEOID,assignment
060014001001,71
060014001002,47
060014002001,71
060014002002,47
060014003001,47
060014003002,47
060014003003,47
060014003004,47
060014004001,71
060014004002,47
060014004003,47
060014005001,47
060014005002,47
060014005003,47
060014006001,47
060014006002,47
060014007001,47
060014007002,47
060014007003,47
060014007004,47
060014008001,47
060014008002,47
060014008003,47
060014009001,47
060014009002,47
060014010001,47
060014010002,47
060014010003,47
060014010004,47
060014010005,47
060014010006,47
060014011001,47
060014011002,47
060014011003,47
060014011004,47
060014012001,47
060014012002,47
060014012003,47
060014013001,47
060014013002,47
060014013003,47
060014014001,47
060014014002,47
060014014003,47
060014015001,47
060014015002,47
060014015003,47
060014016001,47
060014016002,47
060014017001,47
060014017002,47
060014017003,47
060014018001,47
060014018002,47
060014022001,47
060014022002,47
060014022003,47
060014024001,47
060014024002,19
060014025001,19
060014025002,47
060014026001,19
060014027001,19
060014027002,19
060014028011,19
060014028012,19
060014028013,19
060014028021,19
060014028022,19
060014029001,47
060014029002,47
060014030001,19
060014030002,47
060014030003,47
060014031001,47
060014031002,19
060014033011,47
060014033012,19
060014033021,19
060014033022,47
060014033023,47
060014034011,47
060014034012,47
060014034013,47
060014034021,47
060014034022,47
060014035011,47
060014035012,47
060014035013,47
060014035014,47
060014035021,47
060014035022,47
060014036001,47
060014036002,47
060014036003,47
060014037011,47
060014037012,47
060014037021,47
060014037022,47
060014038001,47
060014038002,47
060014038003,47
060014038004,47
060014039001,47
060014039002,47
060014039003,47
060014040001,47
060014040002,47
060014040003,47
060014041011,47
060014041012,47
060014041013,47
060014041021,47
060014041022,47
060014042001,47
060014042002,47
060014042003,47
060014043001,47
060014043002,47
060014043003,47
060014044001,47
060014044002,47
060014044003,47
060014044004,47
060014045011,47
060014045021,47
060014045022,47
060014045023,47
060014045024,47
060014046001,47
060014046002,47
060014046003,47
060014046004,47
060014047001,47
060014047002,47
060014048001,47
060014048002,47
060014049001,47
060014049002,47
060014049003,47
060014049004,47
060014050001,47
060014050002,47
060014050003,47
060014051001,47
060014051002,47
060014051003,47
060014051004,47
060014051005,47
060014052001,47
060014052002,47
060014052003,47
060014052004,47
060014053011,47
060014053012,47
060014053013,47
060014053021,47
060014053022,47
060014054011,47
060014054012,47
060014054013,47
060014054021,47
060014054022,47
060014055001,47
060014055002,47
060014055003,47
060014055004,47
060014056001,47
060014056002,47
060014056003,47
060014057001,47
060014057002,47
060014057003,47
060014058001,47
060014058002,47
060014058003,47
060014058004,47
060014059011,47
060014059012,47
060014059013,47
060014059021,47
060014059022,47
060014060001,47
060014060002,47
060014060003,47
060014060004,47
060014061001,47
060014061002,47
060014061003,47
060014061004,47
060014062011,47
060014062012,47
060014062013,47
060014062014,47
060014062021,47
060014062022,47
060014062023,47
060014063001,47
060014063002,47
060014063003,47
060014063004,47
060014064001,47
060014064002,47
060014065001,47
060014065002,47
060014065003,47
060014065004,47
060014066011,47
060014066012,47
060014066013,47
060014066014,47
060014066021,47
060014066022,47
060014067001,47
060014067002,47
060014067003,47
060014067004,47
060014067005,47
060014068001,47
060014068002,47
060014068003,47
060014068004,47
060014069001,47
060014069002,47
060014069003,47
060014070001,47
060014070002,47
060014070003,47
060014070004,47
060014070005,47
060014071011,47
060014071012,47
060014071021,47
060014071022,47
060014071023,47
060014071024,47
060014072001,47
060014072002,47
060014072003,47
060014072004,47
060014073001,47
060014073002,47
060014074001,47
060014074002,47
060014074003,47
060014075001,47
060014075002,47
060014075003,47
060014076001,47
060014076002,47
060014076003,47
060014076004,47
060014076005,47
060014077001,47
060014077002,47
060014077003,47
060014077004,47
060014078001,47
060014078002,47
060014079001,47
060014079002,47
060014079003,47
060014080001,47
060014080002,47
060014081001,47
060014081002,19
060014081003,47
060014081004,19
060014081005,47
060014082001,47
060014082002,47
060014082003,47
060014083001,47
060014083002,19
060014083003,19
060014083004,47
060014083005,47
060014084001,47
060014084002,47
060014084003,19
060014085001,19
060014085002,19
060014085003,19
060014085004,19
060014085005,19
060014086001,47
060014086002,47
060014086003,19
060014086004,47
060014087001,47
060014087002,47
060014087003,47
060014087004,47
060014087005,47
060014087006,47
060014088001,19
060014088002,19
060014088003,19
060014088004,19
060014089001,19
060014089002,19
060014090001,19
060014090002,19
060014090003,19
060014091001,19
060014091002,19
060014092001,19
060014092002,19
060014093001,19
060014093002,19
060014093003,19
060014093004,19
060014094001,19
060014094002,19
060014094003,19
060014095001,19
060014095002,19
060014095003,19
060014096001,19
060014096002,19
060014096003,19
060014096004,19
060014096005,19
060014097001,19
060014097002,19
060014097003,19
060014097004,19
060014098001,19
060014098002,19
060014098003,19
060014099001,19
060014099002,19
060014099003,19
060014099004,47
060014100001,19
060014100002,19
060014100003,19
060014101001,19
060014101002,19
060014102001,19
060014102002,19
060014102003,19
060014103001,19
060014103002,19
060014103003,19
060014104001,19
060014104002,19
060014104003,19
060014105001,47
060014105002,47
060014201001,71
060014201002,71
060014201003,71
060014202001,71
060014202002,71
060014202003,71
060014203011,46
060014203021,71
060014203022,46
060014204011,71
060014204012,71
060014204021,71
060014204022,71
060014205001,71
060014205002,71
060014206001,71
060014206002,71
060014206003,71
060014211001,71
060014211002,71
060014212001,71
060014212002,71
060014212003,71
060014212004,71
060014213001,71
060014213002,71
060014213003,71
060014213004,71
060014214001,71
060014214002,71
060014215001,71
060014215002,71
060014215003,71
060014216001,71
060014216002,71
060014216003,71
060014216004,71
060014217001,71
060014217002,71
060014217003,71
060014218001,71
060014218002,71
060014219001,71
060014219002,71
060014219003,71
060014219004,71
060014220001,47
060014220002,71
060014221001,71
060014221002,71
060014222001,71
060014222002,71
060014222003,71
060014223001,71
060014223002,71
060014223003,71
060014224001,71
060014224002,71
060014224003,71
060014224004,71
060014225001,71
060014225002,71
060014225003,71
060014227001,71
060014227002,71
060014227003,71
060014227004,71
060014228001,71
060014228002,71
060014228003,71
060014228004,71
060014229011,71
060014229012,71
060014229021,47
060014229022,71
060014229023,71
060014230001,71
060014230002,47
060014230003,47
060014231001,71
060014231002,47
060014231003,47
060014231004,47
060014232001,47
060014232002,47
060014233001,71
060014233002,71
060014233003,71
060014234001,47
060014234002,71
060014234003,71
060014234004,71
060014235001,71
060014235002,71
060014235003,71
060014236011,71
060014236012,71
060014236021,71
060014236022,71
060014236023,71
060014237001,71
060014237002,71
060014237003,71
060014238001,71
060014238002,71
060014238003,71
060014239011,47
060014239012,71
060014239021,71
060014239022,71
060014240011,71
060014240012,71
060014240013,47
060014240014,47
060014240021,71
060014240022,47
060014251011,47
060014251012,47
060014251021,47
060014251022,47
060014251023,47
060014251031,47
060014251032,47
060014251033,47
060014251041,47
060014251042,47
060014251043,47
060014251044,47
060014251045,47
060014261001,47
060014261002,47
060014261003,47
060014261004,47
060014261005,47
060014261006,47
060014262001,47
060014262002,47
060014262003,47
060014271001,47
060014271002,19
060014271003,47
060014272001,47
060014272002,19
060014272003,19
060014272004,19
060014272005,47
060014273001,19
060014273002,19
060014273003,19
060014273004,19
060014273005,19
060014276001,19
060014276002,19
060014276003,19
060014277001,19
060014277002,19
060014277003,19
060014277004,19
060014278001,19
060014278002,19
060014278003,19
060014278004,19
060014278005,19
060014279001,19
060014279002,19
060014279003,19
060014279004,19
060014279005,19
060014280001,19
060014280002,19
060014280003,19
060014281001,19
060014281002,19
060014281003,19
060014281004,19
060014282001,19
060014282002,19
060014282003,19
060014282004,19
060014282005,19
060014283011,19
060014283012,19
060014283013,19
060014283014,19
060014283021,19
060014283022,19
060014283023,19
060014284001,19
060014284002,19
060014284003,19
060014285001,19
060014285002,19
060014285003,19
060014286001,19
060014286002,19
060014287001,19
060014287002,19
060014287003,19
060014301011,19
060014301012,19
060014301013,19
060014301014,19
060014301021,47
060014302001,19
060014302002,19
060014302003,19
060014302004,19
060014302005,47
060014303001,19
060014303002,19
060014303003,47
060014304001,19
060014304002,19
060014305001,19
060014305002,19
060014305003,19
060014306001,19
060014306002,19
060014306003,19
060014306004,19
060014307001,19
060014307002,19
060014307003,19
060014308001,19
060014308002,19
060014308003,19
060014308004,19
060014309001,19
060014309002,19
060014309003,19
060014310001,19
060014310002,19
060014311001,19
060014311002,19
060014312001,19
060014312002,19
060014312003,19
060014321001,19
060014321002,19
060014321003,19
060014322001,19
060014322002,19
060014322003,19
060014323001,19
060014323002,19
060014323003,19
060014324001,19
060014324002,19
060014324003,19
060014325011,19
060014325012,19
060014325013,19
060014325021,19
060014325022,19
060014325023,19
060014326011,19
060014326012,19
060014326021,19
060014326022,19
060014326023,19
060014327001,19
060014327002,19
060014327003,19
060014328001,19
060014328002,19
060014328003,19
060014330001,19
060014330002,19
